p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
0;3,228383744;0,988;0,411;0;TexISG;Isg15
0;3,092732387;0,932;0,152;0;TexISG;Ifit1
0;2,9164142;0,916;0,142;0;TexISG;Ifit3
0;2,346076617;0,89;0,236;0;TexISG;Usp18
0;2,310757615;0,711;0,046;0;TexISG;Rsad2
0;2,310369206;0,777;0,186;0;TexISG;Isg20
0;2,154116885;0,663;0,068;0;TexISG;Ifit3b
0;2,152484555;0,953;0,493;0;TexISG;Bst2
0;2,084492081;0,921;0,477;0;TexISG;Phf11b
0;2,023329487;0,928;0,41;0;TexISG;Zbp1
0;2,01485567;0,956;0,471;0;TexISG;Irf7
0;2,012495304;0,952;0,649;0;TexISG;Samhd1
0;1,976303179;0,716;0,101;0;TexISG;Mx1
0;1,910023398;0,663;0,072;0;TexISG;Cmpk2
0;1,859648426;0,985;0,689;0;TexISG;Stat1
0;1,696467778;0,714;0,213;0;TexISG;Ifit1bl1
0;1,683908461;0,908;0,448;0;TexISG;Ifi209
0;1,678151334;0,826;0,332;0;TexISG;Trim30a
0;1,671193043;0,962;0,773;0;TexISG;Ly6a
0;1,651362785;0,847;0,368;0;TexISG;Igtp
0;1,650229845;0,933;0,388;0;TexISG;Rtp4
0;1,638863813;0,753;0,268;0;TexISG;Daxx
0;1,57528185;0,96;0,718;0;TexISG;Ifi47
0;1,572384116;0,886;0,48;0;TexISG;Lgals3bp
0;1,566537603;0,771;0,282;0;TexISG;Gbp9
0;1,553934443;0,725;0,241;0;TexISG;Trafd1
0;1,550964878;0,946;0,662;0;TexISG;Ifi203
0;1,547517823;0,975;0,812;0;TexISG;Ifi27l2a
0;1,544877084;0,734;0,307;0;TexISG;Oas1a
3,39E-304;1,493712987;0,684;0,282;1,05E-299;TexISG;Gbp2
0;1,488726384;0,643;0,173;0;TexISG;Ifih1
0;1,476636064;0,633;0,15;0;TexISG;Phf11a
0;1,451381231;0,772;0,277;0;TexISG;Parp9
0;1,451149198;0,791;0,302;0;TexISG;Ifi213
0;1,431366199;0,679;0,212;0;TexISG;Herc6
0;1,416360883;0,811;0,343;0;TexISG;Xaf1
0;1,415942335;0,768;0,304;0;TexISG;Tgtp2
0;1,408946209;0,836;0,429;0;TexISG;Gbp7
0;1,40186918;0,923;0,618;0;TexISG;Mndal
0;1,359643252;0,735;0,316;0;TexISG;Gbp4
0;1,348851964;0,754;0,325;0;TexISG;Ddx58
1,16E-252;1,343232039;0,463;0,145;3,59E-248;TexISG;Jaml
0;1,341121226;0,638;0,175;0;TexISG;Eif2ak2
0;1,331573625;0,549;0,145;0;TexISG;Tor3a
0;1,325083942;0,812;0,424;0;TexISG;Slfn1
0;1,30990472;0,672;0,225;0;TexISG;Pml
4,06E-162;1,283833687;0,523;0,234;1,26E-157;TexISG;Socs1
0;1,280673731;0,689;0,235;0;TexISG;Slfn8
0;1,273562341;0,639;0,227;0;TexISG;Rnf213
1,00E-301;1,267905718;0,813;0,445;3,11E-297;TexISG;Ifi35
0;1,26668074;0,549;0,105;0;TexISG;Dhx58
1,51E-277;1,257841853;0,688;0,29;4,69E-273;TexISG;Parp14
1,24E-272;1,254569206;0,495;0,154;3,84E-268;TexISG;Ube2l6
9,45E-126;1,246648039;0,642;0,408;2,93E-121;TexISG;Plac8
0;1,238828433;0,529;0,116;0;TexISG;Gbp6
8,29E-251;1,223437261;0,513;0,18;2,57E-246;TexISG;Ehd4
5,43E-307;1,217982877;0,678;0,263;1,69E-302;TexISG;Ifi214
0;1,206306932;0,464;0,114;0;TexISG;Tgtp1
4,87E-156;1,205847516;0,901;0,703;1,51E-151;TexISG;Gzmb
6,80E-286;1,175429118;0,658;0,256;2,11E-281;TexISG;Ifi206
7,13E-240;1,164432236;0,682;0,332;2,21E-235;TexISG;Naa20
0;1,129868749;0,971;0,848;0;TexISG;H2-T22
1,53E-256;1,124827319;0,85;0,568;4,75E-252;TexISG;Lgals9
4,50E-253;1,107695502;0,651;0,274;1,40E-248;TexISG;Irgm1
6,40E-244;1,10108305;0,652;0,277;1,99E-239;TexISG;Dtx3l
0;1,095456762;0,397;0,048;0;TexISG;Oasl1
0;1,090739779;0,528;0,139;0;TexISG;Stat2
2,88E-277;1,082490382;0,404;0,102;8,95E-273;TexISG;Ifit2
5,39E-192;1,057895133;0,579;0,251;1,67E-187;TexISG;Zufsp
3,19E-220;1,051066432;0,885;0,668;9,91E-216;TexISG;Tapbp
1,29E-197;1,047409493;0,495;0,19;3,99E-193;TexISG;Aftph
1,33E-170;1,029522579;0,768;0,511;4,14E-166;TexISG;Smchd1
0;1,024672649;0,441;0,084;0;TexISG;Oas3
4,18E-150;1,024152421;0,723;0,438;1,30E-145;TexISG;Il10ra
1,04E-214;0,98338933;0,906;0,702;3,22E-210;TexISG;Psmb10
0;0,97575433;0,998;0,989;0;TexISG;Ms4a4b
0;0,971296657;0,427;0,098;0;TexISG;Trim30d
0;0,967831851;0,375;0,055;0;TexISG;Parp12
2,31E-271;0,955934514;0,472;0,137;7,16E-267;TexISG;Mov10
1,07E-225;0,9474586;0,977;0,831;3,31E-221;TexISG;Ly6e
5,60E-283;0,946068247;0,335;0,07;1,74E-278;TexISG;Gbp10
6,60E-221;0,940356337;0,458;0,15;2,05E-216;TexISG;Gbp3
1,05E-294;0,93831887;0,37;0,083;3,27E-290;TexISG;Cd274
2,06E-297;0,906394922;0,227;0,033;6,40E-293;TexISG;Iigp1
2,89E-174;0,903303058;0,346;0,105;8,96E-170;TexISG;Ccrl2
5,79E-147;0,90179663;0,762;0,506;1,80E-142;TexISG;Pttg1
3,59E-238;0,893752871;0,345;0,084;1,11E-233;TexISG;Ifi208
2,89E-203;0,893561627;0,5;0,185;8,98E-199;TexISG;Phf11c
2,11E-123;0,8842825;0,544;0,283;6,57E-119;TexISG;1600014C10Rik
2,63E-189;0,855049616;0,9;0,7;8,15E-185;TexISG;Tap1
