Cluster;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;geneSymbol
Naive;GO:0002181;cytoplasmic translation;67/129;146/28564;1,49743033090986e-124;2,83912790740510e-121;2,24929798127197e-121;20088/269261/56040/100503670/20090/20085/20115/67427/19982/20102/20054/20055/57808/19981/270106/65019/20044/66481/54127/76846/20005/67186/19933/13682/20091/268449/78294/19921/20116/19946/19989/27050/319195/267019/68028/66475/20103/26451/76808/19941/75617/20042/20104/67248/26961/20084/67097/66480/67115/19934/14109/68052/19896/22121/19988/19899/54217/27370/68436/20068/27367/67891/11837/19943/114641/67025/16785;67;Rps24/Rpl12/Rplp1/Rpl5/Rps29/Rps19/Rps7/Rps20/Rpl36a/Rps4x/Rps15/Rps16/Rpl35a/Rpl37a/Rpl13/Rpl23/Rps14/Rps21/Rps28/Rps9/Rpl9/Rplp2/Rpl21/Eif4a2/Rps3a1/Rpl23a/Rps27a/Rpl19/Rps8/Rpl30/Rpl7/Rps3/Rpl17/Rps15a/Rpl22l1/Rps23/Rps5/Rpl27a/Rpl18a/Rpl26/Rps25/Rps12/Rps6/Rpl39/Rpl8/Rps18/Rps10/Rpl15/Rpl14/Rpl22/Fau/Rps13/Rpl10a/Rpl13a/Rpl6/Rpl18/Rpl36/Rps26/Rpl34/Rps17/Rpl3/Rpl4/Rplp0/Rpl28/Rpl31/Rpl11/Rpsa
Naive;GO:0140236;translation at presynapse;39/129;47/28564;1,76197510017300e-86;1,67035239496400e-83;1,32333603576151e-83;20088/269261/57294/100503670/19982/20055/57808/19981/270106/65019/20044/54127/20005/67186/110954/268449/78294/19989/319195/267019/20103/26451/19941/20042/26961/67097/66480/67115/19934/66489/19896/22121/19988/67281/54217/27370/68436/67891/19943;39;Rps24/Rpl12/Rps27/Rpl5/Rpl36a/Rps16/Rpl35a/Rpl37a/Rpl13/Rpl23/Rps14/Rps28/Rpl9/Rplp2/Rpl10/Rpl23a/Rps27a/Rpl7/Rpl17/Rps15a/Rps5/Rpl27a/Rpl26/Rps12/Rpl8/Rps10/Rpl15/Rpl14/Rpl22/Rpl35/Rpl10a/Rpl13a/Rpl6/Rpl37/Rpl36/Rps26/Rpl34/Rpl4/Rpl28
Naive;GO:0140241;translation at synapse;39/129;48/28564;9,36828494198508e-86;4,44056706250093e-83;3,51803752952966e-83;20088/269261/57294/100503670/19982/20055/57808/19981/270106/65019/20044/54127/20005/67186/110954/268449/78294/19989/319195/267019/20103/26451/19941/20042/26961/67097/66480/67115/19934/66489/19896/22121/19988/67281/54217/27370/68436/67891/19943;39;Rps24/Rpl12/Rps27/Rpl5/Rpl36a/Rps16/Rpl35a/Rpl37a/Rpl13/Rpl23/Rps14/Rps28/Rpl9/Rplp2/Rpl10/Rpl23a/Rps27a/Rpl7/Rpl17/Rps15a/Rps5/Rpl27a/Rpl26/Rps12/Rpl8/Rps10/Rpl15/Rpl14/Rpl22/Rpl35/Rpl10a/Rpl13a/Rpl6/Rpl37/Rpl36/Rps26/Rpl34/Rpl4/Rpl28
Naive;GO:0140242;translation at postsynapse;39/129;48/28564;9,36828494198508e-86;4,44056706250093e-83;3,51803752952966e-83;20088/269261/57294/100503670/19982/20055/57808/19981/270106/65019/20044/54127/20005/67186/110954/268449/78294/19989/319195/267019/20103/26451/19941/20042/26961/67097/66480/67115/19934/66489/19896/22121/19988/67281/54217/27370/68436/67891/19943;39;Rps24/Rpl12/Rps27/Rpl5/Rpl36a/Rps16/Rpl35a/Rpl37a/Rpl13/Rpl23/Rps14/Rps28/Rpl9/Rplp2/Rpl10/Rpl23a/Rps27a/Rpl7/Rpl17/Rps15a/Rps5/Rpl27a/Rpl26/Rps12/Rpl8/Rps10/Rpl15/Rpl14/Rpl22/Rpl35/Rpl10a/Rpl13a/Rpl6/Rpl37/Rpl36/Rps26/Rpl34/Rpl4/Rpl28
Naive;GO:0042254;ribosome biogenesis;30/129;305/28564;1,31936932388386e-31;5,00304847616761e-29;3,96366321091005e-29;20088/57294/100503670/20085/20115/20054/20055/57808/20044/66481/54127/76846/110954/268449/100043813/20116/19989/20103/19941/75617/20104/18148/67115/66489/14109/19988/20068/11837/67025/16785;30;Rps24/Rps27/Rpl5/Rps19/Rps7/Rps15/Rps16/Rpl35a/Rps14/Rps21/Rps28/Rps9/Rpl10/Rpl23a/Rps27rt/Rps8/Rpl7/Rps5/Rpl26/Rps25/Rps6/Npm1/Rpl14/Rpl35/Fau/Rpl6/Rps17/Rplp0/Rpl11/Rpsa
Naive;GO:0022613;ribonucleoprotein complex biogenesis;31/129;419/28564;8,19600092773570e-29;2,58993629316448e-26;2,05187602173313e-26;20088/57294/100503670/20085/20115/20054/20055/57808/20044/66481/54127/76846/110954/268449/100043813/20116/19989/20103/19941/75617/20104/18148/67115/66489/14109/22121/19988/20068/11837/67025/16785;31;Rps24/Rps27/Rpl5/Rps19/Rps7/Rps15/Rps16/Rpl35a/Rps14/Rps21/Rps28/Rps9/Rpl10/Rpl23a/Rps27rt/Rps8/Rpl7/Rps5/Rpl26/Rps25/Rps6/Npm1/Rpl14/Rpl35/Fau/Rpl13a/Rpl6/Rps17/Rplp0/Rpl11/Rpsa
Naive;GO:0042274;ribosomal small subunit biogenesis;18/129;74/28564;1,04621286866135e-26;2,83374228425989e-24;2,24503122342819e-24;20088/57294/20085/20115/20054/20055/20044/66481/54127/76846/20116/20103/75617/20104/18148/14109/20068/16785;18;Rps24/Rps27/Rps19/Rps7/Rps15/Rps16/Rps14/Rps21/Rps28/Rps9/Rps8/Rps5/Rps25/Rps6/Npm1/Fau/Rps17/Rpsa
Naive;GO:0042255;ribosome assembly;16/129;64/28564;4,65564272374263e-24;1,10338732552700e-21;8,74158179839571e-22;57294/100503670/20085/20054/20044/54127/110954/268449/20103/75617/20104/14109/19988/11837/67025/16785;16;Rps27/Rpl5/Rps19/Rps15/Rps14/Rps28/Rpl10/Rpl23a/Rps5/Rps25/Rps6/Fau/Rpl6/Rplp0/Rpl11/Rpsa
Naive;GO:0006364;rRNA processing;22/129;212/28564;8,41282806147154e-24;1,77230244495000e-21;1,40410592324209e-21;20088/57294/100503670/20085/20115/20054/20055/57808/20044/66481/54127/100043813/20116/19989/19941/75617/20104/18148/67115/66489/20068/67025;22;Rps24/Rps27/Rpl5/Rps19/Rps7/Rps15/Rps16/Rpl35a/Rps14/Rps21/Rps28/Rps27rt/Rps8/Rpl7/Rpl26/Rps25/Rps6/Npm1/Rpl14/Rpl35/Rps17/Rpl11
Naive;GO:0016072;rRNA metabolic process;22/129;249/28564;3,01264384760938e-22;5,71197273506738e-20;4,52530817951429e-20;20088/57294/100503670/20085/20115/20054/20055/57808/20044/66481/54127/100043813/20116/19989/19941/75617/20104/18148/67115/66489/20068/67025;22;Rps24/Rps27/Rpl5/Rps19/Rps7/Rps15/Rps16/Rpl35a/Rps14/Rps21/Rps28/Rps27rt/Rps8/Rpl7/Rpl26/Rps25/Rps6/Npm1/Rpl14/Rpl35/Rps17/Rpl11
