p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
0;3.04281567230821;0.513;0.036;0;Naive;Dapl1
0;1.62864497266042;0.245;0.023;0;Naive;Sell
0;1.62245894753985;0.22;0.011;0;Naive;Ccr7
0;1.38000384426486;0.984;0.953;0;Naive;Malat1
0;1.31939112923872;1;0.999;0;Naive;Rps24
0;1.27337329812545;0.995;0.978;0;Naive;Rpl12
0;1.27021709188595;0.133;0.002;0;Naive;Igfbp4
0;1.21070859175625;0.997;0.982;0;Naive;Rps27
0;1.19327267569529;0.999;0.999;0;Naive;Tpt1
0;1.15275141044298;0.999;0.998;0;Naive;Rplp1
0;1.08386483810852;0.999;0.998;0;Naive;Gm42418
0;1.05078141604968;0.953;0.909;0;Naive;Rpl5
0;1.04701727258207;0.999;0.995;0;Naive;Rps29
0;1.00710186178175;0.998;0.988;0;Naive;Rps19
0;0.947305113019322;0.997;0.993;0;Naive;Rps7
0;0.943653549792894;1;0.992;0;Naive;Rps20
0;0.878881155136391;0.993;0.987;0;Naive;Rps4x
0;0.847068717648523;1;0.998;0;Naive;Rps16
0;0.844757924465333;0.998;0.993;0;Naive;Rpl35a
0;0.815110375787118;0.993;0.996;0;Naive;Rpl37a
0;0.805967653877179;0.999;0.999;0;Naive;Rpl13
0;0.801448103694809;0.999;0.998;0;Naive;Rpl23
0;0.795575481782228;0.996;0.997;0;Naive;Rps14
0;0.793658845258362;0.994;0.99;0;Naive;Rps21
0;0.780577036087863;0.992;0.987;0;Naive;Rps9
0;0.761841614659875;0.986;0.982;0;Naive;Rpl9
0;0.75842626444298;0.985;0.982;0;Naive;Rplp2
0;0.749240244448887;0.991;0.986;0;Naive;Rpl21
0;0.727843250127953;0.998;0.993;0;Naive;Rps3a1
0;0.690255992206012;0.999;0.993;0;Naive;Rps27a
0;0.686433776329832;0.999;0.997;0;Naive;Rpl19
0;0.683839371406879;0.999;0.997;0;Naive;Rps8
0;0.677021899584006;0.998;0.997;0;Naive;Rpl30
0;0.658359724086755;0.996;0.995;0;Naive;Rpl17
0;0.62963635891317;0.999;0.999;0;Naive;Rps15a
2.14524084656868E-294;0.676027851595036;0.992;0.992;6.92591007314698E-290;Naive;Rps3
5.90612361389152E-294;0.789131205461851;0.99;0.979;1.90679200874488E-289;Naive;Rps28
7.50016896923679E-292;0.621196935812971;0.999;0.995;2.4214295517181E-287;Naive;Rps23
1.86883462154031E-282;0.59618035109869;0.997;0.998;6.0335325756429E-278;Naive;Rpl18a
9.6336780231754E-280;0.597335138611861;0.997;0.997;3.11023294978218E-275;Naive;Rpl27a
9.93507238310679E-275;0.872904437938122;0.966;0.939;3.20753811888603E-270;Naive;Rps15
1.02418029641331E-271;1.87877102172613;0.325;0.066;3.30656608697038E-267;Naive;Il7r
1.19136914497296E-256;0.620476387744756;0.997;0.994;3.84633528454519E-252;Naive;Rps5
1.92630485999172E-249;0.531402012136899;0.999;0.997;6.21907524048328E-245;Naive;Rps18
1.36075780670127E-245;0.487283960679837;0.998;0.999;4.39320657893505E-241;Naive;Rps10
