p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
0,00000000000000e+00;1.62245894753985;0.22;0.011;0;Naive;Ccr7
0,00000000000000e+00;1.27021709188595;0.133;0.002;0;Naive;Igfbp4
0,00000000000000e+00;1.19327267569529;0.999;0.999;0;Naive;Tpt1
0,00000000000000e+00;1.08386483810852;0.999;0.998;0;Naive;Gm42418
0,00000000000000e+00;1.05078141604968;0.953;0.909;0;Naive;Rpl5
0,00000000000000e+00;0.677021899584006;0.998;0.997;0;Naive;Rpl30
2,86797149302847e-197;1.32620495894506;0.165;0.019;9.25924596524242E-207;Naive;Rgcc
2,19947027640296e-183;0.971472602407827;0.876;0.777;7.10098978736695E-193;Naive;mt-Nd2
2,14908632585470e-150;0.963542361443502;0.103;0.008;6.93832520302188E-159;Naive;Rflnb
1,98273765513913e-146;0.393912401704474;0.999;1;6.40126851961667E-156;Naive;Fau
3,22696276886660e-133;1.51019706832502;0.307;0.102;1.04182492992858E-141;Naive;Arl4c
5,02640383006315e-112;1.53955614723839;0.388;0.183;1.62277447653589E-121;Naive;Lef1
1,32017988654630e-97;0.377718147962432;0.993;0.997;4.26220076371474E-106;Naive;Rpl13a
1,09412872876659e-85;0.32401550422613;0.993;0.998;3.53239460082294E-95;Naive;Rpl34
3,19431330122313e-68;1.17254600957246;0.196;0.066;1.03128404929989E-77;Naive;Chd3
3,15026507676144e-57;0.430318825740174;0.941;0.955;1.01706308003243E-66;Naive;Rpl14
9,58566519684090e-53;1.18316680124448;0.241;0.109;3.09473200880009E-61;Naive;Foxp1
4,28284059550534e-39;1.11588428949086;0.303;0.175;1.3827150862589E-48;Naive;Ccnd2
7,59715599312401e-33;0.803304763113225;0.102;0.031;2.45274181238009E-42;Naive;Dtx1
3,71003554039521e-31;0.622187256349064;0.708;0.74;1.19778497421659E-40;Naive;Rpl22l1
1,32923368778581e-24;1.00357843687652;0.24;0.139;4.29143096101648E-34;Naive;Satb1
2,47883381495753e-15;0.908973914782678;0.212;0.127;8.0029149715904E-25;Naive;Rapgef6
6,69554191246128e-15;0.76987777848669;0.117;0.051;2.16165570643812E-24;Naive;Pik3ip1
6,80982200372119e-07;0.682416655020947;0.136;0.073;2.19855103390139E-16;Naive;Klf3
2,42239314759384e-04;0.703806920569382;0.125;0.069;7.8206962770067E-14;Naive;Rnf167
3,81982695718662e-04;0.699862099308425;0.451;0.449;1.2332311331277E-13;Naive;Npc2
9,92631493077920e-05;0.717666995590224;0.144;0.085;3.20471077540207E-13;Naive;Smad7
6,36054931034065e-02;0.73326537061381;0.168;0.111;2.05350334484348E-11;Naive;Eif4a2
2,32269114737439e+00;0.306099816594392;0.751;0.819;7.49880836929821E-10;Naive;Rpl31
4,41530647054047e+00;0.530223873665264;0.569;0.635;1.42548169401399E-09;Naive;Ddx5
1,04537296116904e+01;0.757330927292142;0.231;0.18;3.37498660513424E-09;Naive;Fam189b
1,73359268302567e+02;0.733658930470519;0.238;0.191;5.59690397714839E-08;Naive;Klk8
2,11052417162461e+02;0.770254673454455;0.191;0.143;6.81382728809006E-08;Naive;Peli1
4,57001666121421e+02;0.655719181366617;0.117;0.073;1.47542987907301E-07;Naive;Fam78a
3,80533527470751e+03;0.679906471368212;0.234;0.189;1.22855249343932E-06;Naive;Ablim1
3,81738052426366e+03;0.69409194884651;0.258;0.221;1.23244130225852E-06;Naive;Rps27rt
7,09123278978518e+03;0.664639525804206;0.253;0.214;2.28940450618214E-06;Naive;4930523C07Rik
8,76319078339433e+03;0.549639673138775;0.101;0.062;2.82919614441886E-06;Naive;Ssh2
4,71316096128612e+04;0.647098117265916;0.157;0.115;1.52164401635123E-05;Naive;Dgka
3,53832984578769e+05;0.473377509097082;0.498;0.531;0.000114234979071;Naive;AY036118
7,10560030967277e+05;0.565619642964685;0.105;0.07;0.000229404305998;Naive;Snhg12
2,91126247810226e+06;0.435176021337892;0.502;0.558;0.000939901091055;Naive;Eef1g
6,29863810298691e+06;0.446278009658407;0.517;0.59;0.002033515311549;Naive;Cox7a2l
6,02984393741460e+06;0.54284252470762;0.18;0.148;0.019467351151943;Naive;Txk
0,00000000000000e+00;1.53694161254066;0.492;0.097;0;TexProg;Slamf6
0,00000000000000e+00;1.16776011021;0.228;0.008;0;TexProg;Id3
7,30864797718340e-225;1.05827684249714;0.163;0.016;2.35959699943366E-233;TexProg;Xcl1
4,60216474187668e-206;0.629553668029201;0.135;0.011;1.48580888691489E-215;TexProg;Tnfsf8
6,05511052845638e-206;1.15502443918703;0.452;0.15;1.95489243411214E-215;TexProg;2310001H17Rik
1,00247799925856e-202;0.347528095409141;1;1;3.23650022060625E-212;TexProg;Rpl32
5,62165260422744e-180;0.892236582469468;0.865;0.589;1.81495054327483E-189;TexProg;Gas5
3,60587982697856e-157;0.806572715603183;0.227;0.048;1.16415830214003E-166;TexProg;Crtam
1,06644120498742e-150;0.929854225880961;0.619;0.302;3.44300543030187E-160;TexProg;Emb
2,70066165321916e-144;0.824172945599752;0.222;0.05;8.71908614741806E-154;TexProg;Ikzf2
9,99453097499810e-117;0.640625904092842;0.12;0.018;3.22673432527814E-125;TexProg;Cldn10
1,84566829972066e-103;0.29498936457221;0.999;0.996;5.95874010564816E-113;TexProg;Rpl41
1,10240459923909e-99;0.55080247725758;0.163;0.036;3.55911324864342E-109;TexProg;Ifnar2
2,29369801611023e-97;0.297604555551898;0.999;0.997;7.40520404501188E-107;TexProg;mt-Atp6
1,66071417765582e-95;0.566155266572443;0.182;0.046;5.36161572256181E-105;TexProg;Asap1
1,79692855406979e-93;0.32849913546503;0.998;0.996;5.80138383681432E-103;TexProg;mt-Co1
1,78611979971333e-82;0.521713058489475;0.142;0.033;5.76648777337449E-92;TexProg;1810041H14Rik
3,46453226129196e-82;0.645964069024435;0.186;0.053;1.11852424055811E-91;TexProg;Ms4a4c
4,52832210940640e-76;0.473337898843387;0.109;0.021;1.46196879302186E-84;TexProg;H2-Oa
4,30176746472654e-72;0.611176502280772;0.191;0.061;1.38882562598696E-81;TexProg;Adk
