gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
Ctla2a;0;-1.8130978837649;0.274;0.693;0
Cd52;0;-1.26649183942094;0.979;0.998;0
Cxcr6;5.17352954639565E-177;-1.08857976556059;0.155;0.371;1.67027401405384E-172
Ccl5;0;-1.07470531480187;0.98;0.989;0
Hcst;0;-1.07173841191145;0.591;0.804;0
Ms4a4b;0;-1.06235591228755;0.9;0.976;0
Lgals3;3.47683310546657E-288;-0.921396722245253;0.659;0.819;1.12249556809988E-283
AW112010;0;-0.906267797351196;0.927;0.975;0
Ms4a6b;3.89314772627474E-221;-0.859273857207824;0.589;0.749;1.2569027434278E-216
S100a4;0;-0.816068141374492;0.928;0.976;0
Ccr2;2.72202571812021E-116;-0.804415057305014;0.013;0.128;8.78806003095111E-112
Cxcr3;2.39153316469156E-101;-0.793698484660345;0.078;0.217;7.7210648222067E-97
Klhl6;1.25463191244243E-108;-0.787735220541337;0.033;0.156;4.05057912932038E-104
S100a10;0;-0.773603131608997;0.945;0.972;0
Slfn2;1.38829097547698E-106;-0.75698369546164;0.309;0.473;4.48209741432743E-102
Ctla2b;5.07438705496147E-87;-0.752541025138215;0.106;0.242;1.63826586069431E-82
S1pr4;7.37831161179662E-79;-0.74662592059359;0.209;0.344;2.38208790386854E-74
Crip1;0;-0.725915071342747;0.939;0.975;0
Malat1;9.01744653867523E-149;-0.725324436103294;0.938;0.957;2.9112826150113E-144
Hopx;4.50278995288286E-68;-0.70774361195874;0.172;0.293;1.45372573628823E-63
Gna15;9.81632837400747E-74;-0.70396958382417;0.112;0.233;3.16920161554831E-69
Dok2;2.25944209686861E-77;-0.699701440407703;0.162;0.295;7.2946088097403E-73
Ly6a;6.08869805021597E-190;-0.6974133224913;0.715;0.817;1.96573616551223E-185
Spn;7.61051907459366E-68;-0.691389959656804;0.214;0.339;2.45705608323256E-63
Ifi47;9.34731289108061E-76;-0.691218451935361;0.216;0.351;3.01777996688537E-71
Ctsw;2.57903886310392E-102;-0.689088635047052;0.41;0.553;8.32642696953102E-98
S100a6;1.39114233154355E-285;-0.684387896042003;0.97;0.971;4.49130301738836E-281
Rinl;7.81511800720613E-73;-0.675106507413712;0.179;0.311;2.5231108486265E-68
Ablim1;4.07906769154538E-73;-0.674821829398109;0.101;0.221;1.31692700421542E-68
Klf2;2.24487635861999E-116;-0.672731579130107;0.554;0.678;7.24758332380462E-112
Slfn1;1.44813743442327E-57;-0.668592469768148;0.147;0.256;4.67531170703553E-53
Cx3cr1;1.42166709553899E-71;-0.665283349500075;0.009;0.081;4.58985221794763E-67
Itgb7;4.33269308506108E-67;-0.634779424985703;0.319;0.439;1.39880996251197E-62
Gng2;6.19896641631431E-58;-0.620372812882887;0.196;0.31;2.00133630750708E-53
Lsp1;1.3214745586186E-158;-0.615043869822014;0.745;0.821;4.26638061250015E-154
Hdac1;5.75152924495477E-104;-0.605971711331275;0.021;0.133;1.85688121673365E-99
Cd3g;7.40679394166638E-166;-0.602344087144714;0.719;0.806;2.39128342406699E-161
Cd48;7.38441971860287E-75;-0.597909748202339;0.465;0.564;2.38405990615094E-70
Srgn;4.19416329241783E-141;-0.593066391004691;0.676;0.783;1.3540856189571E-136
Samhd1;1.08792772373957E-42;-0.590672212979012;0.373;0.451;3.51237465609321E-38
Itgax;2.39855028230721E-62;-0.584974951551249;0.044;0.132;7.74371958642881E-58
Ctsd;2.61831168679442E-92;-0.575796678127876;0.581;0.676;8.45321928081579E-88
Selplg;6.80921568142355E-79;-0.57041904961128;0.532;0.628;2.19835528274759E-74
H2-T23;2.75954552820538E-67;-0.54747804537902;0.47;0.572;8.90919273781107E-63
Vim;1.79451978191095E-157;-0.539124641081135;0.825;0.869;5.79360711589952E-153
Glrx;8.12114360312741E-44;-0.531591523405307;0.093;0.178;2.62191121226968E-39
Cd47;4.26767623149686E-92;-0.52690518953337;0.624;0.697;1.37781927133876E-87
Zbp1;5.90179797142979E-36;-0.522208191501597;0.243;0.328;1.90539547507611E-31
Clec2d;3.33891248862183E-33;-0.520278542041667;0.126;0.202;1.07796789695156E-28
0610010K14Rik;1.8043621080936E-45;-0.517233446402315;0.083;0.167;5.82538306598017E-41
Fxyd5;5.359195411052E-139;-0.511643516447441;0.828;0.873;1.73021623845814E-134
Tmsb10;6.08264355463114E-238;-0.510418019960365;0.958;0.964;1.96378147161266E-233
Ifit3;1.60795882098103E-41;-0.508911028718524;0.025;0.083;5.19129505353727E-37
Tnfaip8l2;6.04761822209438E-38;-0.507265680729774;0.111;0.192;1.95247354300317E-33
Rac2;1.20164590712674E-130;-0.506805178829578;0.819;0.861;3.87951381115869E-126
Ly6c2;4.20345188190772E-119;-0.505951479600722;0.918;0.909;1.35708444007391E-114
Tmsb4x;0;-0.500623244214228;1;1;0
AA467197;2.05990543857045E-31;-0.498071118730533;0.146;0.222;6.6504047084247E-27
Epsti1;2.41874004573521E-64;-0.491552133173123;0.599;0.671;7.80890223765614E-60
Ifi214;5.89745734163845E-34;-0.48280333964581;0.064;0.13;1.90399410274797E-29
Ifitm1;2.33773196249012E-10;-0.48006169132019;0.014;0.032;7.54736764089936E-06
Rora;3.83846397848528E-30;-0.479672744319293;0.091;0.157;1.23924809545397E-25
Abracl;4.45007830381296E-107;-0.477167879884345;0.731;0.789;1.43670778038602E-102
Gm26740;2.57560199956428E-36;-0.476983803805771;0.059;0.125;8.31533105559329E-32
Lgals1;6.3181875808532E-197;-0.475737398915273;0.983;0.987;2.03982686047846E-192
S1pr1;6.4081423557193E-27;-0.475140353518807;0.126;0.192;2.06886875954397E-22
4930523C07Rik;4.92099838936366E-26;-0.469115226561513;0.172;0.241;1.58874433000606E-21
Ifi27l2a;4.22216032642774E-71;-0.46419987016347;0.779;0.839;1.3631244613872E-66
Ifi209;6.37476643283602E-28;-0.462368142846971;0.093;0.157;2.05809334284111E-23
Itgb1;9.10209630936878E-17;-0.461153248152514;0.192;0.243;2.93861179347971E-12
Ppp1r12a;1.15018839857138E-24;-0.458825033764975;0.146;0.211;3.71338324478769E-20
Ptpn6;3.1442226444979E-30;-0.458085846724028;0.14;0.214;1.01511228077615E-25
Shisa5;3.2976941077989E-69;-0.455955188680412;0.698;0.754;1.06466054270288E-64
Krtcap2;3.80950501673107E-44;-0.452870186233798;0.493;0.553;1.22989869465163E-39
Cd3d;2.57599889626057E-149;-0.44823312336199;0.906;0.925;8.31661243657723E-145
Phf11b;3.86416404781162E-23;-0.446598819575934;0.203;0.267;1.24754536283598E-18
Mrps16;1.07607672090206E-31;-0.443734305335622;0.364;0.435;3.47411369343231E-27
Trbc1;6.77805907514878E-23;-0.442819412740631;0.563;0.599;2.18829637241178E-18
Igtp;5.10398383622838E-17;-0.431145063489931;0.182;0.233;1.64782118152633E-12
BE692007;9.42979271660445E-20;-0.428294029643979;0.184;0.243;3.04440857855575E-15
Il18rap;4.00734930372191E-24;-0.424027635817907;0.144;0.209;1.29377272270662E-19
Cd226;1.76349398030916E-25;-0.422959815175455;0.132;0.198;5.69344031542813E-21
Btg2;7.32664860967522E-20;-0.419942356363712;0.186;0.245;2.36540850363364E-15
Stat1;2.19650912764389E-18;-0.419246448607894;0.286;0.34;7.09142971859831E-14
Chmp2a;1.78132534514334E-23;-0.417107210536245;0.288;0.351;5.75100887679526E-19
Anxa1;9.0233715781023E-28;-0.415251199256161;0.058;0.113;2.91319551399033E-23
Ccr5;1.72058939762731E-46;-0.414928865691308;0.027;0.091;5.55492287023976E-42
Cd8b1;1.94328846381311E-71;-0.413608117741289;0.808;0.834;6.27390680542062E-67
Clic1;1.64320369453085E-86;-0.412742372118619;0.78;0.8;5.30508312779286E-82
Il18r1;1.23989740574829E-23;-0.403122459354594;0.316;0.379;4.00300877445835E-19
1700097N02Rik;1.85583126447015E-32;-0.398562587706005;0.081;0.151;5.99155123734189E-28
Smap2;2.26295667141122E-18;-0.398242813615911;0.241;0.297;7.30595561365111E-14
Zbtb32;2.83512395181546E-17;-0.395880837849983;0.107;0.155;9.15319767843623E-13
Ifi206;5.07585502568267E-22;-0.394408530149831;0.075;0.126;1.63873979504165E-17
Leprotl1;1.06066078839269E-21;-0.39375861191382;0.312;0.371;3.42434335532581E-17
Ltb;3.72443862395767E-12;-0.392858700267977;0.303;0.339;1.20243500974473E-07
AU020206;5.47762963966163E-15;-0.392465008656655;0.126;0.171;1.76845272916476E-10
Thy1;7.85719109819954E-29;-0.389772769280702;0.45;0.506;2.53669414605372E-24
Manf;3.5265240645427E-21;-0.386471097677893;0.221;0.284;1.13853829423761E-16
Itga1;2.37141449511907E-42;-0.38395045257406;0.009;0.055;7.65611169749193E-38
Dock2;8.26958959348549E-14;-0.383092705854407;0.224;0.268;2.66983700025679E-09
Rasa3;3.55129765095565E-19;-0.382441087465634;0.11;0.162;1.14653644661103E-14
S100a11;4.02046078488722E-67;-0.373326741113832;0.827;0.842;1.29800576440084E-62
Emb;2.47757466636711E-20;-0.372094299086565;0.27;0.332;7.9988498103662E-16
Skap1;1.9850210079409E-20;-0.371127856315977;0.307;0.366;6.40864032413718E-16
Plgrkt;7.96702714880858E-20;-0.369841935730869;0.189;0.25;2.57215471499285E-15
Mettl23;1.9149645275415E-16;-0.369013747965482;0.265;0.317;6.18246297716775E-12
Il2rg;1.96953702684773E-15;-0.365167497018671;0.218;0.268;6.35865029117789E-11
Glipr2;7.27869507479939E-14;-0.363741411735825;0.234;0.279;2.34992670489898E-09
Ctss;1.92763407224674E-23;-0.362398217082451;0.072;0.126;6.2233666022486E-19
Itgal;8.68034005305083E-13;-0.361757315916565;0.248;0.29;2.80244778612746E-08
Cdkn2d;1.88672201078245E-13;-0.361688320645817;0.118;0.16;6.09128201181113E-09
Ifi203;1.37122736750128E-17;-0.36115809624399;0.361;0.41;4.42700755597788E-13
Gbp2;8.42467492102538E-29;-0.354200618031594;0.031;0.078;2.71990629825304E-24
Tmem71;7.29763686869388E-15;-0.35259385947128;0.093;0.136;2.35604206305782E-10
Vrk3;8.35491029439569E-24;-0.350002877512381;0.047;0.094;2.69738278854565E-19
Apbb1ip;1.90230094002554E-11;-0.348266622516635;0.223;0.261;6.14157858487245E-07
Cd37;2.88313253814991E-12;-0.347953574142095;0.217;0.258;9.308193399417E-08
Dnajc15;2.22157581012135E-55;-0.346129533543051;0.74;0.764;7.17235750297677E-51
Laptm5;3.75891578744275E-28;-0.344855262102726;0.661;0.681;1.21356596197589E-23
Irf7;2.18197190559764E-10;-0.344775610498418;0.113;0.147;7.04449629722199E-06
Gimap6;1.7711676113064E-22;-0.342929183313894;0.505;0.544;5.71821463310272E-18
Actb;6.89348735073084E-232;-0.340200825553278;0.999;0.999;2.22556239118345E-227
Pglyrp1;2.80000819827719E-17;-0.339712612220232;0.42;0.457;9.03982646813792E-13
Wdr95;1.209011570641E-20;-0.338286602575699;0.129;0.189;3.90329385581447E-16
Mcrip1;3.68793245238549E-16;-0.337966917024906;0.099;0.145;1.19064899225266E-11
Anxa6;1.60308347592959E-15;-0.336807941119511;0.432;0.462;5.17555500203868E-11
Rnf138;2.77161316134421E-12;-0.335898314298829;0.164;0.206;8.94815309139978E-08
Id2;1.23648696883665E-17;-0.335617239049597;0.574;0.594;3.99199817888914E-13
Txnip;3.94647308209292E-14;-0.334899737823829;0.33;0.373;1.2741188345537E-09
Bin1;1.41312324149731E-12;-0.334400719035422;0.15;0.192;4.56226838517405E-08
Acp5;3.39238008491706E-09;-0.334396130904173;0.232;0.264;0.000109522991042
Myl6;5.93555574932757E-97;-0.332533696576577;0.946;0.942;1.9162941736704E-92
Ifi213;9.31819139097159E-20;-0.331395165539634;0.046;0.087;3.00837809057518E-15
Adprh;1.91366887177124E-21;-0.330363331859903;0.072;0.122;6.17827995251343E-17
Emp3;1.9680864383004E-30;-0.326671176952924;0.693;0.697;6.35396706605285E-26
Gm30054;1.12838269322328E-13;-0.326046122552128;0.072;0.109;3.64298352507137E-09
Cyth4;5.10738599045152E-12;-0.325390108826098;0.165;0.207;1.64891956701727E-07
Jaml;1.56520775659943E-17;-0.324172938278325;0.051;0.091;5.05327324218125E-13
Cd7;1.70586287870203E-34;-0.324083405426659;0.012;0.055;5.50737830388952E-30
Rpl29;2.91223983463958E-66;-0.323706509654739;0.912;0.908;9.40216630613389E-62
Sike1;1.61926449448902E-11;-0.32008740942013;0.168;0.209;5.22779542045781E-07
Ccdc124;1.14243557758822E-16;-0.320016397671713;0.141;0.194;3.68835326224356E-12
Gm8369;3.11940026168135E-21;-0.319338083926605;0.523;0.563;1.00709837448382E-16
Gbp4;5.77393717144896E-16;-0.3183176152073;0.069;0.11;1.8641156158023E-11
Nkg7;7.23006767869485E-90;-0.317965664281644;0.972;0.971;2.33422735006663E-85
Slamf6;1.42924857820386E-17;-0.316435476935179;0.065;0.109;4.61432903473117E-13
Mndal;1.68410813838951E-11;-0.313380099225853;0.314;0.351;5.43714312479055E-07
Pycard;5.72657409819033E-25;-0.310749656343598;0.723;0.716;1.84882444760075E-20
Atp1b3;4.9070555137805E-12;-0.310438833983891;0.422;0.447;1.58424287262403E-07
S100a13;9.92774582343815E-29;-0.310074017123851;0.655;0.675;3.20517273909701E-24
Myo1f;4.46304959045008E-15;-0.308370029581934;0.073;0.113;1.44089556027681E-10
Arl5c;5.8190806414288E-28;-0.306723003464054;0.013;0.05;1.87869018508529E-23
Supt4a;9.49558770800312E-15;-0.306345597687283;0.489;0.513;3.06565049152881E-10
Lck;2.73711389964751E-11;-0.30501103615255;0.482;0.495;8.836772225012E-07
Rcbtb2;6.57899902622161E-16;-0.304804277641584;0.075;0.117;2.12402983561565E-11
Sept1;4.0476745623337E-12;-0.302983114578481;0.4;0.431;1.30679173244943E-07
Slco3a1;4.80490956974487E-12;-0.302092062081026;0.054;0.085;1.55126505459213E-07
Gm5547;1.02539650994589E-16;-0.300121738898025;0.04;0.075;3.31049263236029E-12
Lfng;2.55029278770904E-08;-0.299977548508642;0.105;0.134;0.000823362026512
Sp100;6.46883361615393E-12;-0.299600058072005;0.359;0.396;2.0884629329753E-07
Irf1;1.41912033138698E-09;-0.296921316904469;0.151;0.187;4.58162998988288E-05
Spcs2;7.70768149196801E-11;-0.29649612932978;0.373;0.398;2.48842496968187E-06
Ndufa13;6.13839113299494E-36;-0.296194680031308;0.711;0.727;1.98177957728742E-31
Ly6e;1.02268013531492E-26;-0.296041385800955;0.736;0.731;3.30172281686421E-22
Cdc42;6.15817892031964E-24;-0.295879290914046;0.64;0.657;1.9881680644252E-19
Actg1;1.76136157404812E-78;-0.295793241934916;0.965;0.951;5.68655584181434E-74
Arhgef1;2.68303254691883E-09;-0.294875613347249;0.235;0.268;8.66217057772745E-05
Smpdl3a;6.42627479922059E-10;-0.293684420743301;0.09;0.122;2.07472281892837E-05
Rsrp1;6.10165960369573E-06;-0.293110408354451;0.279;0.298;0.196992080305317
Irgm1;3.01265721390862E-11;-0.292990191951371;0.089;0.124;9.72636381510397E-07
B2m;1.09052931508306E-90;-0.290454000245504;0.974;0.975;3.52077389374565E-86
Bin2;1.41511706174186E-07;-0.290112496786547;0.284;0.308;0.004568705433834
Rtp4;2.16407610670754E-08;-0.289644720416;0.127;0.158;0.000698671971051
Sp110;7.03513111423205E-10;-0.287980590390947;0.14;0.176;2.27129208022982E-05
Gmfg;9.79935297013518E-38;-0.285828369422029;0.821;0.816;3.16372110640814E-33
Ptprcap;1.24009385717508E-42;-0.285602299772032;0.795;0.803;4.00364301788976E-38
Coro1a;1.39954630689037E-78;-0.283442909876914;0.942;0.937;4.51843525179556E-74
Nmi;3.06451766459014E-09;-0.283297615192334;0.182;0.217;9.89379528012927E-05
Ech1;8.20988925573854E-09;-0.282908194356824;0.286;0.317;0.000265056274622
Aip;5.75306466325622E-10;-0.278925002900777;0.149;0.186;1.85737692653227E-05
Myo1g;8.10568430561516E-08;-0.27814554989263;0.17;0.201;0.002616920178068
Gimap7;2.52739233274196E-10;-0.275743683374158;0.482;0.496;8.15968614625741E-06
Sdcbp2;8.50301058638315E-11;-0.274527159616177;0.066;0.097;2.7451969678138E-06
Cnp;1.48632609425585E-07;-0.271887274778081;0.176;0.207;0.004798603795305
Hmgb2;0.483592894477053;-0.271576061443793;0.727;0.657;1
Nsmce1;1.48991207023456E-20;-0.269603050029933;0.041;0.083;4.81018111875227E-16
Fam204a;2.04674962058744E-07;-0.268564026174231;0.122;0.151;0.006607931150067
Ostf1;1.94286886888267E-12;-0.266284757753428;0.492;0.513;6.27255214318771E-08
Clint1;1.92842823599483E-07;-0.26519867292204;0.142;0.172;0.006225930559909
H2-M3;4.57686178200139E-11;-0.263985534649539;0.09;0.126;1.47763982631915E-06
Klf3;5.89134786687719E-06;-0.260738314064783;0.061;0.08;0.19020216588213
2810001G20Rik;2.63737997589839E-08;-0.259900556901177;0.095;0.125;0.000851478125219
