Cluster;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;geneSymbol
TprogWTopen;GO:0007159;leukocyte cell-cell adhesion;10/90;420/28564;8,52244527295765e-07;8,57570125043479e-04;6,66726665920649e-04;50723/23871/16423/20345/19055/18762/12394/12505/54167/27027;10;Icosl/Ets1/Cd47/Selplg/Ppp3ca/Prkcz/Runx1/Cd44/Icos/Tspan32
TprogWTopen;GO:0022409;positive regulation of cell-cell adhesion;9/90;330/28564;1,02176017660209e-06;8,57570125043479e-04;6,66726665920649e-04;50723/23871/16423/19055/18762/12394/17684/12505/54167;9;Icosl/Ets1/Cd47/Ppp3ca/Prkcz/Runx1/Cited2/Cd44/Icos
TprogWTopen;GO:1903706;regulation of hemopoiesis;10/90;447/28564;1,49274260651499e-06;8,57570125043479e-04;6,66726665920649e-04;18103/12193/16416/23871/19055/18762/234515/12394/12505/13024;10;Nme2/Zfp36l2/Itgb3/Ets1/Ppp3ca/Prkcz/Inpp4b/Runx1/Cd44/Ctla2a
TprogWTopen;GO:1902105;regulation of leukocyte differentiation;9/90;359/28564;2,04281836713034e-06;8,57570125043479e-04;6,66726665920649e-04;18103/12193/16416/19055/18762/234515/12394/12505/13024;9;Nme2/Zfp36l2/Itgb3/Ppp3ca/Prkcz/Inpp4b/Runx1/Cd44/Ctla2a
TprogWTopen;GO:0002507;tolerance induction;4/90;29/28564;2,06047603326160e-06;8,57570125043479e-04;6,66726665920649e-04;18566/12394/98432/54167;4;Pdcd1/Runx1/Phlpp1/Icos
TprogWTopen;GO:1903039;positive regulation of leukocyte cell-cell adhesion;8/90;278/28564;2,83057900094188e-06;9,19670675247667e-04;7,15007373912170e-04;50723/23871/16423/19055/18762/12394/12505/54167;8;Icosl/Ets1/Cd47/Ppp3ca/Prkcz/Runx1/Cd44/Icos
TprogWTopen;GO:1903037;regulation of leukocyte cell-cell adhesion;9/90;380/28564;3,24737894392438e-06;9,19670675247667e-04;7,15007373912170e-04;50723/23871/16423/19055/18762/12394/12505/54167/27027;9;Icosl/Ets1/Cd47/Ppp3ca/Prkcz/Runx1/Cd44/Icos/Tspan32
TprogWTopen;GO:0050863;regulation of T cell activation;9/90;384/28564;3,53549514751626e-06;9,19670675247667e-04;7,15007373912170e-04;50723/16423/19055/18762/12394/12505/13024/54167/27027;9;Icosl/Cd47/Ppp3ca/Prkcz/Runx1/Cd44/Ctla2a/Icos/Tspan32
TprogWTopen;GO:0002520;immune system development;7/90;230/28564;8,48673157402796e-06;1,96232093395024e-03;1,52562648295684e-03;16992/50723/18566/12394/98432/17684/54167;7;Lta/Icosl/Pdcd1/Runx1/Phlpp1/Cited2/Icos
TprogWTopen;GO:0002517;T cell tolerance induction;3/90;14/28564;1,07370619138425e-05;2,23438258427061e-03;1,73714359595535e-03;12394/98432/54167;3;Runx1/Phlpp1/Icos
TprogWTopen;GO:0030099;myeloid cell differentiation;9/90;482/28564;2,16941853165346e-05;4,10414542215531e-03;3,19080984033623e-03;18103/16364/16416/17132/23871/19055/234515/12394/17684;9;Nme2/Irf4/Itgb3/Maf/Ets1/Ppp3ca/Inpp4b/Runx1/Cited2
