## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-HDAC1-KO-H3K27ac-rep2_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-HDAC1-KO-H3K27ac-rep2_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Ly108--T-HDAC1-KO-H3K27ac-rep2_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 15:20:03 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	16255859	0	2119440	0	2099564	1256902	0.129157	128438996

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.078616	12364568	0	13378253
2.0	2.029003	1537733	979179	726400
3.0	2.866406	212805	109970	44195
4.0	3.604255	32205	15162	4135
5.0	4.254387	5634	2444	1008
6.0	4.827229	1348	408	505
7.0	5.33197	428	72	278
8.0	5.776706	185	7	165
9.0	6.16857	128	0	113
10.0	6.513848	75	0	71
11.0	6.818079	66	0	61
12.0	7.086142	46	0	46
13.0	7.322336	32	0	28
14.0	7.530451	26	0	22
15.0	7.713825	13	0	15
16.0	7.875399	19	0	21
17.0	8.017764	11	0	7
18.0	8.143205	9	0	11
19.0	8.253733	6	0	7
20.0	8.351121	8	0	8
21.0	8.436931	11	0	12
22.0	8.51254	7	0	5
23.0	8.57916	5	0	2
24.0	8.63786	4	0	4
25.0	8.689582	1	0	1
26.0	8.735155	1	0	2
27.0	8.77531	1	0	2
28.0	8.810691	5	0	7
29.0	8.841866	3	0	4
30.0	8.869335	4	0	0
31.0	8.893538	0	0	1
32.0	8.914864	2	0	0
33.0	8.933655	1	0	1
34.0	8.950212	0	0	0
35.0	8.9648	1	0	3
36.0	8.977654	2	0	2
37.0	8.98898	0	0	1
38.0	8.99896	3	0	2
39.0	9.007753	1	0	1
40.0	9.015501	3	0	1
41.0	9.022328	0	0	0
42.0	9.028343	1	0	2
43.0	9.033643	1	0	1
44.0	9.038313	1	0	0
45.0	9.042427	0	0	0
46.0	9.046053	1	0	1
47.0	9.049248	0	0	0
48.0	9.052062	0	0	0
49.0	9.054542	0	0	1
50.0	9.056728	1	0	0
51.0	9.058653	0	0	0
52.0	9.06035	0	0	1
53.0	9.061845	1	0	1
54.0	9.063162	1	0	0
55.0	9.064323	0	0	0
56.0	9.065345	0	0	1
57.0	9.066246	1	0	0
58.0	9.06704	0	0	0
59.0	9.06774	0	0	0
60.0	9.068356	0	0	0
61.0	9.068899	0	0	0
62.0	9.069378	0	0	0
63.0	9.069799	0	0	0
64.0	9.070171	0	0	0
65.0	9.070498	0	0	0
66.0	9.070787	0	0	0
67.0	9.071041	0	0	0
68.0	9.071265	0	0	0
69.0	9.071462	0	0	0
70.0	9.071636	0	0	0
71.0	9.071789	0	0	0
72.0	9.071924	0	0	0
73.0	9.072043	0	0	0
74.0	9.072148	0	0	0
75.0	9.07224	0	0	0
76.0	9.072322	0	0	0
77.0	9.072393	0	0	0
78.0	9.072456	0	0	0
79.0	9.072512	0	0	0
80.0	9.072561	0	0	0
81.0	9.072604	0	0	0
82.0	9.072642	0	0	0
83.0	9.072676	0	0	0
84.0	9.072705	0	0	0
85.0	9.072731	0	0	0
86.0	9.072754	0	0	0
87.0	9.072775	0	0	0
88.0	9.072792	0	0	0
89.0	9.072808	0	0	0
90.0	9.072822	0	0	0
91.0	9.072834	0	0	0
92.0	9.072845	0	0	0
93.0	9.072854	0	0	0
94.0	9.072863	0	0	0
95.0	9.07287	0	0	0
96.0	9.072877	0	0	0
97.0	9.072882	0	0	0
98.0	9.072887	0	0	0
99.0	9.072892	0	0	0
100.0	9.072896	0	0	0

