## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-HDAC1-KO-H3K27me3-rep1_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-HDAC1-KO-H3K27me3-rep1_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Ly108--T-HDAC1-KO-H3K27me3-rep1_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 15:29:01 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	18386685	0	1452200	0	1763524	1068333	0.095913	209902070

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.059028	15058072	0	15963473
2.0	2.029235	1391530	878048	626347
3.0	2.918072	150953	78242	29998
4.0	3.732362	18660	9124	2247
5.0	4.478359	2708	1298	325
6.0	5.161789	468	193	99
7.0	5.787899	105	36	29
8.0	6.361499	22	8	10
9.0	6.886991	14	0	6
10.0	7.36841	1	0	0
11.0	7.809452	2	0	2
12.0	8.213505	1	0	0
13.0	8.58367	0	0	0
14.0	8.922789	0	0	0
15.0	9.233467	0	0	0
16.0	9.518088	0	0	0
17.0	9.778838	0	0	0
18.0	10.017719	0	0	0
19.0	10.236566	0	0	0
20.0	10.437057	0	0	0
21.0	10.620734	0	0	0
22.0	10.789006	0	0	0
23.0	10.943165	0	0	0
24.0	11.084394	0	0	0
25.0	11.213779	0	0	0
26.0	11.332312	0	0	0
27.0	11.440904	0	0	0
28.0	11.540389	0	0	0
29.0	11.631529	0	0	0
30.0	11.715026	0	0	0
31.0	11.79152	0	0	0
32.0	11.861599	0	0	0
33.0	11.9258	0	0	0
34.0	11.984616	0	0	0
35.0	12.0385	0	0	0
36.0	12.087864	0	0	0
37.0	12.133088	0	0	0
38.0	12.17452	0	0	0
39.0	12.212476	0	0	0
40.0	12.247249	0	0	0
41.0	12.279106	0	0	0
42.0	12.308291	0	0	0
43.0	12.335028	0	0	0
44.0	12.359523	0	0	0
45.0	12.381963	0	0	0
46.0	12.402521	0	0	0
47.0	12.421355	0	0	0
48.0	12.43861	0	0	0
49.0	12.454417	0	0	0
50.0	12.468899	0	0	0
51.0	12.482166	0	0	0
52.0	12.49432	0	0	0
53.0	12.505455	0	0	0
54.0	12.515656	0	0	0
55.0	12.525002	0	0	0
56.0	12.533563	0	0	0
57.0	12.541407	0	0	0
58.0	12.548593	0	0	0
59.0	12.555176	0	0	0
60.0	12.561207	0	0	0
61.0	12.566732	0	0	0
62.0	12.571794	0	0	0
63.0	12.576431	0	0	0
64.0	12.580679	0	0	0
65.0	12.584571	0	0	0
66.0	12.588137	0	0	0
67.0	12.591404	0	0	0
68.0	12.594396	0	0	0
69.0	12.597138	0	0	0
70.0	12.599649	0	0	0
71.0	12.601951	0	0	0
72.0	12.604059	0	0	0
73.0	12.60599	0	0	0
74.0	12.607759	0	0	0
75.0	12.60938	0	0	0
76.0	12.610865	0	0	0
77.0	12.612225	0	0	0
78.0	12.613472	0	0	0
79.0	12.614613	0	0	0
80.0	12.615659	0	0	0
81.0	12.616618	0	0	0
82.0	12.617496	0	0	0
83.0	12.6183	0	0	0
84.0	12.619037	0	0	0
85.0	12.619712	0	0	0
86.0	12.62033	0	0	0
87.0	12.620897	0	0	0
88.0	12.621416	0	0	0
89.0	12.621891	0	0	0
90.0	12.622327	0	0	0
91.0	12.622726	0	0	0
92.0	12.623091	0	0	0
93.0	12.623426	0	0	0
94.0	12.623733	0	0	0
95.0	12.624014	0	0	0
96.0	12.624272	0	0	0
97.0	12.624508	0	0	0
