## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-HDAC1-KO-HDAC1-rep3_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-HDAC1-KO-HDAC1-rep3_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Ly108--T-HDAC1-KO-HDAC1-rep3_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 15:51:00 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	11601834	0	3442038	0	2191681	878709	0.188908	40135709

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.070709	7631123	0	8257985
2.0	1.87263	1443931	678779	1012253
3.0	2.47324	272112	78845	122065
4.0	2.923075	50520	11257	14588
5.0	3.259985	9227	1701	1791
6.0	3.512318	1730	258	319
7.0	3.701306	363	44	85
8.0	3.842851	84	7	25
9.0	3.948864	34	2	19
10.0	4.028263	15	0	13
11.0	4.08773	13	1	13
12.0	4.132269	14	0	13
13.0	4.165627	13	0	11
14.0	4.190611	12	1	17
15.0	4.209323	7	0	2
16.0	4.223337	7	0	6
17.0	4.233834	2	0	2
18.0	4.241695	2	0	2
19.0	4.247583	0	0	2
20.0	4.251993	1	0	1
21.0	4.255296	0	0	1
22.0	4.257769	3	0	0
23.0	4.259622	0	0	0
24.0	4.26101	1	1	1
25.0	4.262049	0	0	0
26.0	4.262827	3	0	3
27.0	4.26341	0	0	1
28.0	4.263847	0	0	0
29.0	4.264174	2	0	1
30.0	4.264419	0	0	1
31.0	4.264602	1	0	1
32.0	4.26474	1	0	0
33.0	4.264842	0	0	0
34.0	4.26492	0	0	0
35.0	4.264977	0	0	0
36.0	4.26502	0	0	0
37.0	4.265053	0	0	0
38.0	4.265077	0	0	0
39.0	4.265095	0	0	1
40.0	4.265109	1	0	0
41.0	4.265119	0	0	0
42.0	4.265127	0	0	0
43.0	4.265132	0	0	0
44.0	4.265137	0	0	0
45.0	4.26514	0	0	0
46.0	4.265142	0	0	0
47.0	4.265144	0	0	0
48.0	4.265145	0	0	0
49.0	4.265146	0	0	0
50.0	4.265147	0	0	0
51.0	4.265148	0	0	0
52.0	4.265148	0	0	0
53.0	4.265149	0	0	0
54.0	4.265149	0	0	0
55.0	4.265149	0	0	0
56.0	4.265149	0	0	0
57.0	4.265149	0	0	0
58.0	4.265149	0	0	0
59.0	4.265149	0	0	0
60.0	4.265149	0	0	0
61.0	4.265149	0	0	0
62.0	4.265149	0	0	0
63.0	4.265149	0	0	0
64.0	4.265149	0	0	0
65.0	4.265149	0	0	0
66.0	4.265149	0	0	0
67.0	4.265149	0	0	0
68.0	4.265149	0	0	0
69.0	4.265149	0	0	0
70.0	4.265149	0	0	0
71.0	4.265149	0	0	0
72.0	4.265149	0	0	0
73.0	4.265149	0	0	0
74.0	4.265149	0	0	0
75.0	4.265149	0	0	0
76.0	4.265149	0	0	0
77.0	4.265149	0	0	0
78.0	4.265149	0	0	0
79.0	4.265149	0	0	0
80.0	4.265149	0	0	0
81.0	4.265149	0	0	0
82.0	4.265149	0	0	0
83.0	4.265149	0	0	0
84.0	4.265149	0	0	0
85.0	4.265149	0	0	0
86.0	4.265149	0	0	0
87.0	4.265149	0	0	0
88.0	4.265149	0	0	0
89.0	4.265149	0	0	0
90.0	4.265149	0	0	0
91.0	4.265149	0	0	0
92.0	4.265149	0	0	0
93.0	4.265149	0	0	0
94.0	4.265149	0	0	0
95.0	4.265149	0	0	0
96.0	4.265149	0	0	0
97.0	4.265149	0	0	0
98.0	4.265149	0	0	0
99.0	4.265149	0	0	0
100.0	4.265149	0	0	0
115.0	0	0	0	1
118.0	0	0	0	1
120.0	0	1	0	0
121.0	0	1	0	1
122.0	0	1	0	0
132.0	0	1	0	1
133.0	0	0	0	1
134.0	0	1	0	0
174.0	0	0	0	1
197.0	0	1	0	0
596.0	0	0	0	1
597.0	0	0	0	1
607.0	0	1	0	0
609.0	0	1	0	0

