## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/IgG_controls/CnR-20241114-CD8--Ly108--T-HDAC1-KO-IgG-rep1_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/IgG_controls/CnR-20241114-CD8--Ly108--T-HDAC1-KO-IgG-rep1_RmBlacklist_sorted_rmDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Ly108--T-HDAC1-KO-IgG-rep1_RmBlacklist_picard_rmDup.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 15:15:05 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	8919477	0	3473240	0	4304081	892308	0.482549	6516938

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.05272	2310805	0	2616037
2.0	1.320582	1182178	577835	1134825
3.0	1.388739	611693	110643	517318
4.0	1.406081	291589	22335	216894
5.0	1.410494	129281	4751	84031
6.0	1.411617	53605	1058	29734
7.0	1.411902	21626	239	10030
8.0	1.411975	8134	41	3328
9.0	1.411993	3174	9	1110
10.0	1.411998	1192	6	443
11.0	1.411999	463	1	177
12.0	1.412	197	1	100
13.0	1.412	106	0	67
14.0	1.412	65	0	45
15.0	1.412	40	0	31
16.0	1.412	37	0	28
17.0	1.412	17	0	22
18.0	1.412	25	0	26
19.0	1.412	20	0	15
20.0	1.412	16	0	8
21.0	1.412	10	1	9
22.0	1.412	7	0	5
23.0	1.412	8	0	7
24.0	1.412	5	0	4
25.0	1.412	5	0	7
26.0	1.412	5	0	6
27.0	1.412	6	0	8
28.0	1.412	6	0	4
29.0	1.412	2	0	2
30.0	1.412	6	0	6
31.0	1.412	5	0	2
32.0	1.412	3	0	4
33.0	1.412	2	0	0
34.0	1.412	0	0	1
35.0	1.412	0	0	0
36.0	1.412	1	0	1
37.0	1.412	1	0	1
38.0	1.412	1	0	0
39.0	1.412	0	0	0
40.0	1.412	1	0	3
41.0	1.412	1	0	1
42.0	1.412	2	0	0
43.0	1.412	0	0	2
44.0	1.412	1	0	0
45.0	1.412	1	0	1
46.0	1.412	1	0	1
47.0	1.412	1	0	0
48.0	1.412	0	0	0
49.0	1.412	0	0	0
50.0	1.412	0	0	0
51.0	1.412	0	0	0
52.0	1.412	0	0	0
53.0	1.412	0	0	0
54.0	1.412	0	0	1
55.0	1.412	1	0	0
56.0	1.412	0	0	1
57.0	1.412	0	0	0
58.0	1.412	0	0	0
59.0	1.412	1	0	0
60.0	1.412	0	0	0
61.0	1.412	0	0	0
62.0	1.412	0	0	0
63.0	1.412	0	0	0
64.0	1.412	0	0	0
65.0	1.412	0	0	0
66.0	1.412	0	0	0
67.0	1.412	0	0	0
68.0	1.412	0	0	0
69.0	1.412	0	0	0
70.0	1.412	0	0	0
71.0	1.412	0	0	1
72.0	1.412	1	0	1
73.0	1.412	0	0	0
74.0	1.412	0	0	0
75.0	1.412	1	0	0
76.0	1.412	0	0	0
77.0	1.412	0	0	0
78.0	1.412	0	0	0
79.0	1.412	0	0	0
80.0	1.412	0	0	0
81.0	1.412	0	0	0
82.0	1.412	0	0	0
83.0	1.412	0	0	0
84.0	1.412	0	0	0
85.0	1.412	0	0	0
86.0	1.412	0	0	0
87.0	1.412	0	0	0
88.0	1.412	0	0	0
89.0	1.412	0	0	0
90.0	1.412	0	0	0
91.0	1.412	0	0	0
92.0	1.412	0	0	0
93.0	1.412	0	0	0
94.0	1.412	0	0	0
95.0	1.412	0	0	0
96.0	1.412	0	0	0
97.0	1.412	0	0	0
98.0	1.412	0	0	0
99.0	1.412	0	0	0
100.0	1.412	0	0	0
141.0	0	0	0	1
142.0	0	0	0	1
144.0	0	1	0	0
146.0	0	1	0	0
147.0	0	0	0	1
148.0	0	1	0	0
153.0	0	0	0	1
155.0	0	1	0	1
156.0	0	0	0	1
162.0	0	1	0	0
176.0	0	1	0	0
476.0	0	0	0	1
482.0	0	1	0	0
540.0	0	0	0	1
550.0	0	1	0	0

