## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-HDAC1-KO-RUNX3-rep1_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-HDAC1-KO-RUNX3-rep1_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Ly108--T-HDAC1-KO-RUNX3-rep1_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 15:55:09 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	13059601	0	1750742	0	3273288	922866	0.250642	27143191

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.059288	7669706	0	8285805
2.0	1.714013	1620463	700781	1221259
3.0	2.118686	347634	86449	187747
4.0	2.368805	80593	12631	38050
5.0	2.5234	23844	2098	13676
6.0	2.618951	10049	395	7568
7.0	2.67801	5921	87	5220
8.0	2.714513	4034	21	3743
9.0	2.737074	3091	15	2853
10.0	2.751019	2382	4	2325
11.0	2.759638	1948	3	1930
12.0	2.764966	1617	3	1516
13.0	2.768258	1367	2	1360
14.0	2.770293	1135	0	1105
15.0	2.771551	991	0	933
16.0	2.772329	839	1	791
17.0	2.772809	719	0	720
18.0	2.773106	659	0	641
19.0	2.77329	583	0	573
20.0	2.773403	506	0	494
21.0	2.773474	448	0	408
22.0	2.773517	409	0	406
23.0	2.773544	355	0	357
24.0	2.77356	342	0	327
25.0	2.77357	336	0	320
26.0	2.773577	260	0	261
27.0	2.773581	290	0	276
28.0	2.773583	222	0	222
29.0	2.773585	217	0	202
30.0	2.773586	202	0	205
31.0	2.773586	205	0	203
32.0	2.773586	184	0	174
33.0	2.773587	173	0	173
34.0	2.773587	146	0	130
35.0	2.773587	168	0	172
36.0	2.773587	154	0	135
37.0	2.773587	116	0	119
38.0	2.773587	132	0	117
39.0	2.773587	118	0	113
40.0	2.773587	100	0	115
41.0	2.773587	109	0	117
42.0	2.773587	104	0	88
43.0	2.773587	96	0	82
44.0	2.773587	79	0	76
45.0	2.773587	71	0	81
46.0	2.773587	79	0	67
47.0	2.773587	64	0	55
48.0	2.773587	56	0	71
49.0	2.773587	73	0	72
50.0	2.773587	79	0	78
51.0	2.773587	61	0	58
52.0	2.773587	61	0	53
53.0	2.773587	61	0	64
54.0	2.773587	58	0	59
55.0	2.773587	51	0	42
56.0	2.773587	44	0	35
57.0	2.773587	30	0	41
58.0	2.773587	54	0	42
59.0	2.773587	45	0	44
60.0	2.773587	38	0	41
61.0	2.773587	40	0	36
62.0	2.773587	32	0	35
63.0	2.773587	35	0	30
64.0	2.773587	27	0	33
65.0	2.773587	22	0	24
66.0	2.773587	27	0	24
67.0	2.773587	30	0	30
68.0	2.773587	31	0	30
69.0	2.773587	35	0	28
70.0	2.773587	22	0	23
71.0	2.773587	27	0	33
72.0	2.773587	29	0	27
73.0	2.773587	25	0	28
74.0	2.773587	30	0	16
75.0	2.773587	19	0	16
76.0	2.773587	19	0	22
77.0	2.773587	21	0	24
78.0	2.773587	20	0	19
79.0	2.773587	20	0	16
80.0	2.773587	21	0	27
81.0	2.773587	22	0	19
82.0	2.773587	18	0	14
83.0	2.773587	16	0	13
84.0	2.773587	17	0	6
85.0	2.773587	7	0	12
86.0	2.773587	8	0	17
87.0	2.773587	12	0	12
88.0	2.773587	11	0	15
89.0	2.773587	17	0	10
90.0	2.773587	17	0	13
91.0	2.773587	7	0	12
92.0	2.773587	10	0	9
93.0	2.773587	11	0	12
94.0	2.773587	8	0	9
95.0	2.773587	8	0	12
96.0	2.773587	14	0	6
