## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-WT-H3K27ac-rep3_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-WT-H3K27ac-rep3_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Ly108--T-WT-H3K27ac-rep3_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 16:18:18 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	19054933	0	2013490	0	2343733	1355276	0.122999	152511627

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.071894	14701696	0	15804283
2.0	2.017892	1733192	1078477	841327
3.0	2.852783	231602	111216	55307
4.0	3.589614	34852	14531	6359
5.0	4.239904	6403	2227	1509
6.0	4.813817	1375	297	612
7.0	5.320324	490	50	316
8.0	5.767341	235	8	190
9.0	6.161855	131	2	102
10.0	6.510033	67	1	52
11.0	6.817317	51	0	49
12.0	7.088511	38	0	31
13.0	7.327852	30	0	36
14.0	7.539083	27	0	21
15.0	7.725505	19	0	21
16.0	7.890031	13	0	12
17.0	8.035233	14	0	9
18.0	8.163381	5	0	9
19.0	8.276478	5	0	4
20.0	8.376292	9	0	7
21.0	8.464383	4	0	6
22.0	8.542127	4	0	2
23.0	8.61074	3	0	2
24.0	8.671294	1	0	2
25.0	8.724737	4	0	2
26.0	8.771902	3	0	3
27.0	8.813528	2	0	4
28.0	8.850265	2	0	1
29.0	8.882687	2	0	2
30.0	8.911301	4	0	3
31.0	8.936554	0	0	1
32.0	8.958841	3	0	3
33.0	8.978511	3	0	3
34.0	8.99587	0	0	0
35.0	9.011191	0	0	1
36.0	9.024712	1	0	1
37.0	9.036645	2	0	0
38.0	9.047176	0	0	0
39.0	9.056471	0	0	0
40.0	9.064674	0	0	0
41.0	9.071913	0	0	0
42.0	9.078303	1	0	1
43.0	9.083941	0	0	0
44.0	9.088918	1	0	1
45.0	9.09331	0	0	1
46.0	9.097186	1	0	0
47.0	9.100607	0	0	0
48.0	9.103626	0	0	1
49.0	9.10629	0	0	1
50.0	9.108642	2	0	0
51.0	9.110717	0	0	0
52.0	9.112549	0	0	0
53.0	9.114165	0	0	1
54.0	9.115592	1	0	0
55.0	9.116851	1	0	1
56.0	9.117962	0	0	1
57.0	9.118943	1	0	0
58.0	9.119809	0	0	0
59.0	9.120572	0	0	0
60.0	9.121247	0	0	0
61.0	9.121842	0	0	0
62.0	9.122367	0	0	0
63.0	9.12283	0	0	0
64.0	9.123239	0	0	0
65.0	9.1236	0	0	0
66.0	9.123918	0	0	0
67.0	9.1242	0	0	0
68.0	9.124448	0	0	0
69.0	9.124667	0	0	0
70.0	9.12486	0	0	0
71.0	9.125031	0	0	0
72.0	9.125181	0	0	0
73.0	9.125314	0	0	0
74.0	9.125431	0	0	0
75.0	9.125535	0	0	0
76.0	9.125626	0	0	0
77.0	9.125707	0	0	0
78.0	9.125778	0	0	0
79.0	9.12584	0	0	0
80.0	9.125896	0	0	0
81.0	9.125945	0	0	0
82.0	9.125988	0	0	0
83.0	9.126026	0	0	0
84.0	9.12606	0	0	0
85.0	9.126089	0	0	0
86.0	9.126115	0	0	0
87.0	9.126139	0	0	0
88.0	9.126159	0	0	0
89.0	9.126177	0	0	0
90.0	9.126193	0	0	0
91.0	9.126207	0	0	0
92.0	9.126219	0	0	0
93.0	9.12623	0	0	0
94.0	9.12624	0	0	0
95.0	9.126248	0	0	0
96.0	9.126256	0	0	0
