## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-WT-H3K27me3-rep2_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-WT-H3K27me3-rep2_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Ly108--T-WT-H3K27me3-rep2_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 16:29:14 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	18008651	0	1607298	0	1652867	1063916	0.091782	238077270

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.060444	14878783	0	15790712
2.0	2.043633	1321381	881625	541506
3.0	2.955195	136377	75468	21474
4.0	3.800347	16043	8543	1272
5.0	4.583929	2156	1176	117
6.0	5.310425	323	172	30
7.0	5.983995	44	20	8
8.0	6.608493	12	6	1
9.0	7.187496	2	0	1
10.0	7.724317	0	0	0
11.0	8.222029	0	0	0
12.0	8.683483	0	0	0
13.0	9.111318	0	0	0
14.0	9.507985	0	0	0
15.0	9.875754	0	0	0
16.0	10.21673	0	0	0
17.0	10.532866	0	0	0
18.0	10.82597	0	0	0
19.0	11.097721	0	0	0
20.0	11.349674	0	0	0
21.0	11.583273	0	0	0
22.0	11.799853	0	0	0
23.0	12.000655	0	0	0
24.0	12.186828	0	0	0
25.0	12.359437	0	0	0
26.0	12.519472	0	0	0
27.0	12.667849	0	0	0
28.0	12.805415	0	0	0
29.0	12.93296	0	0	0
30.0	13.051212	0	0	0
31.0	13.16085	0	0	0
32.0	13.262501	0	0	0
33.0	13.356746	0	0	0
34.0	13.444125	0	0	0
35.0	13.525138	0	0	0
36.0	13.600249	0	0	0
37.0	13.669889	0	0	0
38.0	13.734455	0	0	0
39.0	13.794317	0	0	0
40.0	13.849818	0	0	0
41.0	13.901276	0	0	0
42.0	13.948985	0	0	0
43.0	13.993218	0	0	0
44.0	14.034229	0	0	0
45.0	14.072252	0	0	0
46.0	14.107505	0	0	0
47.0	14.14019	0	0	0
48.0	14.170494	0	0	0
49.0	14.198589	0	0	0
50.0	14.224639	0	0	0
51.0	14.24879	0	0	0
52.0	14.271182	0	0	0
53.0	14.291942	0	0	0
54.0	14.311191	0	0	0
55.0	14.329036	0	0	0
56.0	14.345582	0	0	0
57.0	14.360923	0	0	0
58.0	14.375145	0	0	0
59.0	14.388332	0	0	0
60.0	14.400558	0	0	0
61.0	14.411893	0	0	0
62.0	14.422403	0	0	0
63.0	14.432147	0	0	0
64.0	14.441181	0	0	0
65.0	14.449557	0	0	0
66.0	14.457322	0	0	0
67.0	14.464522	0	0	0
68.0	14.471198	0	0	0
69.0	14.477387	0	0	0
70.0	14.483125	0	0	0
71.0	14.488445	0	0	0
72.0	14.493377	0	0	0
73.0	14.497951	0	0	0
74.0	14.502191	0	0	0
75.0	14.506122	0	0	0
76.0	14.509767	0	0	0
77.0	14.513146	0	0	0
78.0	14.516279	0	0	0
79.0	14.519184	0	0	0
80.0	14.521877	0	0	0
81.0	14.524374	0	0	0
82.0	14.526689	0	0	0
83.0	14.528835	0	0	0
84.0	14.530825	0	0	0
85.0	14.53267	0	0	0
86.0	14.534381	0	0	0
87.0	14.535967	0	0	0
88.0	14.537438	0	0	0
89.0	14.538801	0	0	0
90.0	14.540065	0	0	0
91.0	14.541237	0	0	0
92.0	14.542323	0	0	0
93.0	14.543331	0	0	0
94.0	14.544265	0	0	0
95.0	14.545131	0	0	0
96.0	14.545934	0	0	0
