## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/IgG_controls/CnR-20241114-CD8--Ly108--T-WT-IgG-rep2_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/IgG_controls/CnR-20241114-CD8--Ly108--T-WT-IgG-rep2_RmBlacklist_sorted_rmDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Ly108--T-WT-IgG-rep2_RmBlacklist_picard_rmDup.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 15:26:31 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	8870517	0	8163068	0	3363546	778824	0.379183	9793726

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.059505	3391377	0	3745798
2.0	1.487804	1342874	550611	1225932
3.0	1.660942	503488	84853	379622
4.0	1.730932	175121	14624	107032
5.0	1.759225	58052	2778	28569
6.0	1.770663	18844	554	8313
7.0	1.775286	6673	94	3164
8.0	1.777155	2853	16	1716
9.0	1.777911	1514	5	1097
10.0	1.778216	1010	3	898
11.0	1.77834	743	1	622
12.0	1.77839	503	0	482
13.0	1.77841	391	0	393
14.0	1.778418	368	0	332
15.0	1.778421	291	0	260
16.0	1.778422	211	0	219
17.0	1.778423	203	0	178
18.0	1.778423	196	0	175
19.0	1.778423	136	0	126
20.0	1.778423	124	0	122
21.0	1.778423	120	0	104
22.0	1.778423	92	0	99
23.0	1.778423	73	0	84
24.0	1.778423	92	0	88
25.0	1.778423	74	0	67
26.0	1.778423	63	0	59
27.0	1.778423	64	0	54
28.0	1.778423	63	0	50
29.0	1.778423	45	0	34
30.0	1.778423	35	0	45
31.0	1.778423	36	0	20
32.0	1.778423	29	0	28
33.0	1.778423	31	0	25
34.0	1.778423	28	0	29
35.0	1.778423	17	0	18
36.0	1.778423	17	0	22
37.0	1.778423	21	0	19
38.0	1.778423	25	0	20
39.0	1.778423	11	0	10
40.0	1.778423	16	0	12
41.0	1.778423	12	0	14
42.0	1.778423	9	0	7
43.0	1.778423	9	0	7
44.0	1.778423	8	0	8
45.0	1.778423	10	0	10
46.0	1.778423	5	0	9
47.0	1.778423	12	0	12
48.0	1.778423	12	0	11
49.0	1.778423	9	0	8
50.0	1.778423	8	0	8
51.0	1.778423	8	0	10
52.0	1.778423	11	0	7
53.0	1.778423	5	0	8
54.0	1.778423	9	0	7
55.0	1.778423	8	0	10
56.0	1.778423	9	0	5
57.0	1.778423	3	0	3
58.0	1.778423	7	0	5
59.0	1.778423	5	0	6
60.0	1.778423	4	0	3
61.0	1.778423	4	0	1
62.0	1.778423	4	0	4
63.0	1.778423	0	0	3
64.0	1.778423	6	0	3
65.0	1.778423	1	0	0
66.0	1.778423	2	0	2
67.0	1.778423	0	0	2
68.0	1.778423	2	0	1
69.0	1.778423	3	0	4
70.0	1.778423	1	0	2
71.0	1.778423	4	0	3
72.0	1.778423	4	0	0
73.0	1.778423	2	0	1
74.0	1.778423	1	0	3
75.0	1.778423	1	0	2
76.0	1.778423	1	0	2
77.0	1.778423	2	0	1
78.0	1.778423	2	0	1
79.0	1.778423	1	0	1
80.0	1.778423	2	0	0
81.0	1.778423	1	0	1
82.0	1.778423	0	0	1
83.0	1.778423	2	0	2
84.0	1.778423	1	0	2
85.0	1.778423	0	0	0
86.0	1.778423	1	0	1
87.0	1.778423	2	0	1
88.0	1.778423	1	0	2
89.0	1.778423	2	0	0
90.0	1.778423	1	0	3
91.0	1.778423	2	0	0
92.0	1.778423	0	0	0
93.0	1.778423	1	0	0
94.0	1.778423	0	0	3
95.0	1.778423	1	0	0
96.0	1.778423	1	0	1
97.0	1.778423	0	0	1
98.0	1.778423	0	0	0
99.0	1.778423	1	0	2
100.0	1.778423	2	0	0
101.0	0	2	0	0
105.0	0	0	0	1
107.0	0	1	0	0
110.0	0	0	0	1
112.0	0	1	0	0
114.0	0	0	0	2
115.0	0	2	0	0
120.0	0	0	0	1
121.0	0	1	0	0
124.0	0	0	0	2
125.0	0	1	0	0
126.0	0	1	0	0
127.0	0	0	0	1
129.0	0	1	0	1
130.0	0	1	0	1
136.0	0	1	0	1
139.0	0	1	0	0
157.0	0	0	0	1
160.0	0	1	0	1
170.0	0	1	0	0
199.0	0	0	0	1
200.0	0	0	0	1
202.0	0	2	0	0

