## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-WT-RUNX3-rep2_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Ly108--T-WT-RUNX3-rep2_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Ly108--T-WT-RUNX3-rep2_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 16:54:09 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	14237925	0	5619820	0	2384301	896764	0.167461	55290925

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.058955	10419244	0	11143350
2.0	1.8775	1171762	708459	579991
3.0	2.510214	171410	74858	61777
4.0	2.999286	36857	10101	18977
5.0	3.377326	13372	1557	10211
6.0	3.669542	7397	278	6630
7.0	3.895417	4970	48	4745
8.0	4.070013	3652	20	3564
9.0	4.204971	2870	9	2722
10.0	4.30929	2238	4	2230
11.0	4.389926	1957	2	1880
12.0	4.452255	1577	2	1520
13.0	4.500434	1306	1	1272
14.0	4.537676	1145	1	1127
15.0	4.566462	995	1	983
16.0	4.588713	857	0	821
17.0	4.605913	727	1	748
18.0	4.619208	684	1	672
19.0	4.629485	638	1	597
20.0	4.637428	545	0	534
21.0	4.643568	536	0	535
22.0	4.648315	451	0	449
23.0	4.651983	377	0	362
24.0	4.654819	376	0	351
25.0	4.657011	325	0	352
26.0	4.658705	330	0	311
27.0	4.660015	309	0	310
28.0	4.661027	283	0	267
29.0	4.66181	263	0	283
30.0	4.662415	217	0	211
31.0	4.662882	228	0	205
32.0	4.663244	195	0	190
33.0	4.663523	200	0	204
34.0	4.663739	161	0	163
35.0	4.663906	180	0	178
36.0	4.664035	140	0	139
37.0	4.664135	150	0	148
38.0	4.664212	162	0	165
39.0	4.664271	127	0	116
40.0	4.664318	127	0	105
41.0	4.664353	113	0	123
42.0	4.664381	111	0	108
43.0	4.664402	100	0	91
44.0	4.664418	83	0	89
45.0	4.664431	98	0	84
46.0	4.664441	82	0	92
47.0	4.664448	91	0	85
48.0	4.664454	92	0	94
49.0	4.664459	83	0	92
50.0	4.664462	87	0	74
51.0	4.664465	57	0	65
52.0	4.664467	70	0	70
53.0	4.664469	59	0	57
54.0	4.66447	80	0	72
55.0	4.664471	60	0	49
56.0	4.664472	41	0	51
57.0	4.664472	56	0	57
58.0	4.664473	54	0	44
59.0	4.664473	38	0	49
60.0	4.664473	50	0	46
61.0	4.664474	42	0	48
62.0	4.664474	63	0	60
63.0	4.664474	49	0	37
64.0	4.664474	34	0	29
65.0	4.664474	37	0	52
66.0	4.664474	47	0	39
67.0	4.664474	43	0	41
68.0	4.664474	34	0	36
69.0	4.664474	36	0	37
70.0	4.664474	38	0	42
71.0	4.664474	35	0	31
72.0	4.664474	37	0	31
73.0	4.664474	26	0	30
74.0	4.664474	31	0	26
75.0	4.664474	30	0	29
76.0	4.664474	31	0	23
77.0	4.664474	19	0	22
78.0	4.664474	15	0	18
79.0	4.664474	28	0	38
80.0	4.664474	33	0	30
81.0	4.664474	27	0	24
82.0	4.664474	22	0	18
83.0	4.664474	21	0	15
84.0	4.664474	19	0	21
85.0	4.664474	21	0	26
86.0	4.664474	28	0	22
87.0	4.664474	16	0	22
88.0	4.664474	25	0	25
89.0	4.664474	21	0	10
90.0	4.664474	17	0	16
91.0	4.664474	11	0	11
92.0	4.664474	16	0	18
93.0	4.664474	17	0	21
94.0	4.664474	19	0	14
95.0	4.664474	18	0	17
96.0	4.664474	13	0	20
97.0	4.664474	13	0	16
98.0	4.664474	19	0	19
99.0	4.664474	16	0	12
100.0	4.664474	17	0	13
101.0	0	8	0	12
102.0	0	15	0	23
103.0	0	21	0	14
104.0	0	17	0	14
105.0	0	15	0	16
106.0	0	15	0	15
107.0	0	12	0	14
108.0	0	9	0	5
109.0	0	11	0	4
110.0	0	7	0	13
111.0	0	13	0	13
112.0	0	10	0	8
113.0	0	16	0	14
114.0	0	8	0	6
115.0	0	9	0	8
116.0	0	5	0	13
117.0	0	13	0	5
118.0	0	9	0	9
119.0	0	9	0	5
120.0	0	7	0	15
121.0	0	12	0	14
122.0	0	7	0	7
123.0	0	15	0	14
124.0	0	10	0	6
125.0	0	7	0	4
126.0	0	5	0	1
127.0	0	5	0	11
128.0	0	8	0	11
129.0	0	8	0	12
130.0	0	8	0	7
131.0	0	10	0	9
132.0	0	11	0	5
133.0	0	7	0	7
134.0	0	3	0	4
135.0	0	5	0	3
136.0	0	4	0	4
137.0	0	8	0	3
138.0	0	3	0	4
139.0	0	0	0	5
140.0	0	7	0	6
141.0	0	5	0	4
142.0	0	3	0	4
143.0	0	4	0	6
144.0	0	2	0	1
145.0	0	3	0	3
146.0	0	3	0	6
147.0	0	9	0	6
148.0	0	6	0	5
149.0	0	6	0	4
150.0	0	3	0	6
151.0	0	5	0	5
152.0	0	5	0	6
153.0	0	3	0	6
154.0	0	5	0	3
155.0	0	6	0	6
156.0	0	4	0	2
157.0	0	1	0	3
158.0	0	11	0	8
159.0	0	4	0	2
160.0	0	2	0	2
161.0	0	6	0	2
162.0	0	1	0	2
163.0	0	2	0	8
164.0	0	6	0	4
165.0	0	5	0	3
166.0	0	1	0	5
167.0	0	1	0	3
168.0	0	3	0	4
169.0	0	4	0	0
170.0	0	3	0	3
171.0	0	4	0	3
172.0	0	5	0	4
173.0	0	2	0	4
174.0	0	5	0	8
175.0	0	5	0	3
176.0	0	5	0	0
177.0	0	1	0	3
178.0	0	1	0	2
179.0	0	3	0	0
180.0	0	3	0	1
181.0	0	1	0	3
182.0	0	1	0	2
183.0	0	5	0	2
184.0	0	2	0	4
185.0	0	0	0	3
186.0	0	0	0	3
187.0	0	5	0	4
188.0	0	5	0	4
189.0	0	1	0	4
190.0	0	6	0	3
191.0	0	4	0	1
192.0	0	4	0	4
193.0	0	2	0	0
194.0	0	0	0	2
195.0	0	1	0	1
196.0	0	4	0	4
197.0	0	2	0	3
198.0	0	1	0	2
199.0	0	3	0	2
200.0	0	0	0	2
201.0	0	3	0	2
202.0	0	2	0	2
203.0	0	6	0	3
204.0	0	0	0	3
205.0	0	4	0	2
206.0	0	2	0	3
207.0	0	4	0	2
208.0	0	2	0	4
209.0	0	1	0	3
210.0	0	3	0	1
212.0	0	2	0	3
213.0	0	3	0	1
214.0	0	1	0	1
215.0	0	1	0	3
216.0	0	3	0	1
217.0	0	1	0	2
218.0	0	0	0	3
219.0	0	3	0	2
220.0	0	3	0	0
221.0	0	3	0	3
222.0	0	3	0	0
223.0	0	1	0	1
225.0	0	2	0	1
227.0	0	0	0	1
228.0	0	2	0	0
229.0	0	1	0	4
230.0	0	0	0	2
231.0	0	1	0	0
