## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-HDAC1-KO-H3K27ac-rep2_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-HDAC1-KO-H3K27ac-rep2_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-HDAC1-KO-H3K27ac-rep2_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:10:16 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	17239726	0	3116566	0	2382648	1292414	0.138207	111255371

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.074937	12824825	0	13845069
2.0	1.99557	1736346	1005224	940652
3.0	2.784048	249271	113469	64198
4.0	3.459342	37799	15854	4988
5.0	4.037699	6143	2517	640
6.0	4.533035	1134	426	187
7.0	4.957266	259	65	84
8.0	5.320601	97	11	76
9.0	5.631779	51	2	37
10.0	5.898289	29	1	27
11.0	6.126541	19	0	17
12.0	6.322029	17	0	16
13.0	6.489455	6	0	6
14.0	6.632847	1	0	1
15.0	6.755656	4	0	4
16.0	6.860836	6	0	9
17.0	6.950918	8	0	5
18.0	7.028068	4	0	5
19.0	7.094144	4	0	3
20.0	7.150735	2	0	4
21.0	7.199202	0	0	1
22.0	7.240712	4	0	1
23.0	7.276264	3	0	4
24.0	7.306712	2	0	1
25.0	7.332789	1	0	1
26.0	7.355123	1	0	0
27.0	7.374251	0	0	0
28.0	7.390633	0	0	1
29.0	7.404664	1	0	0
30.0	7.41668	0	0	0
31.0	7.426972	0	0	0
32.0	7.435786	0	0	0
33.0	7.443335	1	0	1
34.0	7.4498	0	0	0
35.0	7.455338	0	0	0
36.0	7.46008	0	0	0
37.0	7.464142	0	0	0
38.0	7.46762	0	0	0
39.0	7.4706	0	0	0
40.0	7.473151	0	0	0
41.0	7.475337	0	0	0
42.0	7.477208	0	0	0
43.0	7.478811	0	0	0
44.0	7.480184	0	0	0
45.0	7.48136	0	0	0
46.0	7.482367	0	0	0
47.0	7.483229	0	0	0
48.0	7.483968	0	0	0
49.0	7.484601	0	0	0
50.0	7.485142	0	0	0
51.0	7.485606	0	0	0
52.0	7.486004	0	0	0
53.0	7.486344	0	0	0
54.0	7.486636	0	0	0
55.0	7.486885	0	0	0
56.0	7.487099	0	0	0
57.0	7.487282	0	0	0
58.0	7.487439	0	0	0
59.0	7.487574	0	0	0
60.0	7.487689	0	0	0
61.0	7.487787	0	0	0
62.0	7.487871	0	0	0
63.0	7.487944	0	0	0
64.0	7.488006	0	0	0
65.0	7.488059	0	0	0
66.0	7.488104	0	0	0
67.0	7.488143	0	0	0
68.0	7.488176	0	0	0
69.0	7.488205	0	0	0
70.0	7.488229	0	0	0
71.0	7.48825	0	0	0
72.0	7.488268	0	0	0
73.0	7.488283	0	0	0
74.0	7.488297	0	0	0
75.0	7.488308	0	0	0
76.0	7.488317	0	0	0
77.0	7.488326	0	0	0
78.0	7.488333	0	0	0
79.0	7.488339	0	0	0
80.0	7.488344	0	0	0
81.0	7.488348	0	0	0
82.0	7.488352	0	0	0
83.0	7.488356	0	0	0
84.0	7.488358	0	0	0
85.0	7.488361	0	0	0
86.0	7.488363	0	0	0
87.0	7.488365	0	0	0
88.0	7.488366	0	0	0
89.0	7.488367	0	0	0
90.0	7.488368	0	0	0
91.0	7.488369	0	0	0
92.0	7.48837	0	0	0
93.0	7.488371	0	0	0
94.0	7.488371	0	0	0
95.0	7.488372	0	0	0
96.0	7.488372	0	0	0
97.0	7.488373	0	0	0
