## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-HDAC1-KO-H3K27me3-rep1_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-HDAC1-KO-H3K27me3-rep1_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-HDAC1-KO-H3K27me3-rep1_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:20:33 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	17315579	0	1440628	0	1783194	1175629	0.102982	208964264

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.069866	13965485	0	14955868
2.0	2.054653	1379534	950317	547673
3.0	2.961126	161509	91796	25552
4.0	3.795513	21288	11332	2155
5.0	4.563547	3230	1582	375
6.0	5.270503	553	221	84
7.0	5.921241	120	40	38
8.0	6.520229	29	5	10
9.0	7.071584	9	2	8
10.0	7.579093	8	0	3
11.0	8.046243	1	0	0
12.0	8.476243	0	0	0
13.0	8.872049	0	0	0
14.0	9.236378	0	0	0
15.0	9.571735	0	0	1
16.0	9.880423	0	0	0
17.0	10.164564	1	0	0
18.0	10.426108	0	0	0
19.0	10.666853	0	0	0
20.0	10.888454	0	0	0
21.0	11.092432	0	0	0
22.0	11.280189	0	0	0
23.0	11.453015	0	0	0
24.0	11.612097	0	0	0
25.0	11.758528	0	0	0
26.0	11.893315	0	0	0
27.0	12.017383	0	0	0
28.0	12.131584	0	0	0
29.0	12.236704	0	0	0
30.0	12.333465	0	0	0
31.0	12.42253	0	0	0
32.0	12.504513	0	0	0
33.0	12.579977	0	0	0
34.0	12.649439	0	0	0
35.0	12.713377	0	0	0
36.0	12.772231	0	0	0
37.0	12.826404	0	0	0
38.0	12.87627	0	0	0
39.0	12.92217	0	0	0
40.0	12.964419	0	0	0
41.0	13.003309	0	0	0
42.0	13.039107	0	0	0
43.0	13.072057	0	0	0
44.0	13.102387	0	0	0
45.0	13.130306	0	0	0
46.0	13.156004	0	0	0
47.0	13.179658	0	0	0
48.0	13.201432	0	0	0
49.0	13.221473	0	0	0
50.0	13.239922	0	0	0
51.0	13.256903	0	0	0
52.0	13.272533	0	0	0
53.0	13.286921	0	0	0
54.0	13.300164	0	0	0
55.0	13.312355	0	0	0
56.0	13.323576	0	0	0
57.0	13.333904	0	0	0
58.0	13.343411	0	0	0
59.0	13.352163	0	0	0
60.0	13.360218	0	0	0
61.0	13.367632	0	0	0
62.0	13.374457	0	0	0
63.0	13.38074	0	0	0
64.0	13.386522	0	0	0
65.0	13.391845	0	0	0
66.0	13.396745	0	0	0
67.0	13.401255	0	0	0
68.0	13.405406	0	0	0
69.0	13.409227	0	0	0
70.0	13.412744	0	0	0
71.0	13.415982	0	0	0
72.0	13.418962	0	0	0
73.0	13.421705	0	0	0
74.0	13.42423	0	0	0
75.0	13.426554	0	0	0
76.0	13.428694	0	0	0
77.0	13.430663	0	0	0
78.0	13.432475	0	0	0
79.0	13.434144	0	0	0
80.0	13.43568	0	0	0
81.0	13.437093	0	0	0
82.0	13.438395	0	0	0
83.0	13.439592	0	0	0
84.0	13.440695	0	0	0
85.0	13.44171	0	0	0
86.0	13.442644	0	0	0
87.0	13.443504	0	0	0
88.0	13.444295	0	0	0
89.0	13.445024	0	0	0
90.0	13.445694	0	0	0
91.0	13.446312	0	0	0
92.0	13.44688	0	0	0
93.0	13.447403	0	0	0
94.0	13.447884	0	0	0
95.0	13.448327	0	0	0
96.0	13.448735	0	0	0
97.0	13.449111	0	0	0
98.0	13.449456	0	0	0
99.0	13.449774	0	0	0
100.0	13.450067	0	0	0

