## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/KO_controls/CnR-20241114-CD8--Tim3--T-HDAC1-KO-HDAC1-rep1_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/KO_controls/CnR-20241114-CD8--Tim3--T-HDAC1-KO-HDAC1-rep1_RmBlacklist_sorted_rmDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-HDAC1-KO-HDAC1-rep1_RmBlacklist_picard_rmDup.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 13 16:38:47 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	9676429	0	4017248	0	3025505	647344	0.312668	13975781

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.049849	4508123	0	4834577
2.0	1.575181	1499325	492680	1371921
3.0	1.838051	464466	60224	348042
4.0	1.969588	131758	8956	77247
5.0	2.035407	35108	1460	15248
6.0	2.068343	8825	241	2728
7.0	2.084823	2093	41	430
8.0	2.09307	432	7	64
9.0	2.097196	111	1	20
10.0	2.099261	29	0	2
11.0	2.100294	8	0	2
12.0	2.100811	4	0	1
13.0	2.10107	1	0	2
14.0	2.1012	2	0	1
15.0	2.101264	0	0	0
16.0	2.101297	0	0	0
17.0	2.101313	0	0	1
18.0	2.101321	0	0	0
19.0	2.101325	1	0	0
20.0	2.101327	0	0	0
21.0	2.101328	0	0	0
22.0	2.101329	0	0	0
23.0	2.101329	0	0	0
24.0	2.101329	0	0	0
25.0	2.101329	0	0	0
26.0	2.101329	0	0	0
27.0	2.101329	1	0	2
28.0	2.101329	1	0	0
29.0	2.101329	0	0	0
30.0	2.101329	0	0	0
31.0	2.101329	0	0	1
32.0	2.101329	0	0	1
33.0	2.101329	2	0	1
34.0	2.101329	1	0	0
35.0	2.101329	0	0	0
36.0	2.101329	0	0	1
37.0	2.101329	1	0	1
38.0	2.101329	1	0	1
39.0	2.101329	0	0	0
40.0	2.101329	0	0	0
41.0	2.101329	1	0	0
42.0	2.101329	0	0	0
43.0	2.101329	0	0	0
44.0	2.101329	0	0	0
45.0	2.101329	0	0	0
46.0	2.101329	0	0	0
47.0	2.101329	0	0	0
48.0	2.101329	0	0	0
49.0	2.101329	0	0	0
50.0	2.101329	0	0	0
51.0	2.101329	0	0	0
52.0	2.101329	0	0	0
53.0	2.101329	0	0	0
54.0	2.101329	0	0	0
55.0	2.101329	0	0	0
56.0	2.101329	0	0	0
57.0	2.101329	0	0	0
58.0	2.101329	0	0	0
59.0	2.101329	0	0	0
60.0	2.101329	0	0	0
61.0	2.101329	0	0	0
62.0	2.101329	0	0	0
63.0	2.101329	0	0	0
64.0	2.101329	0	0	0
65.0	2.101329	0	0	0
66.0	2.101329	0	0	0
67.0	2.101329	0	0	0
68.0	2.101329	0	0	0
69.0	2.101329	0	0	0
70.0	2.101329	0	0	0
71.0	2.101329	0	0	0
72.0	2.101329	0	0	0
73.0	2.101329	0	0	0
74.0	2.101329	0	0	0
75.0	2.101329	0	0	0
76.0	2.101329	0	0	0
77.0	2.101329	0	0	0
78.0	2.101329	0	0	0
79.0	2.101329	0	0	0
80.0	2.101329	0	0	0
81.0	2.101329	0	0	0
82.0	2.101329	0	0	0
83.0	2.101329	0	0	0
84.0	2.101329	0	0	0
85.0	2.101329	0	0	0
86.0	2.101329	0	0	0
87.0	2.101329	0	0	0
88.0	2.101329	0	0	0
89.0	2.101329	0	0	0
90.0	2.101329	0	0	0
91.0	2.101329	0	0	0
92.0	2.101329	0	0	0
93.0	2.101329	0	0	0
94.0	2.101329	0	0	0
95.0	2.101329	0	0	0
96.0	2.101329	0	0	0
97.0	2.101329	0	0	0
98.0	2.101329	0	0	0
