## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-HDAC1-KO-HDAC1-rep3_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-HDAC1-KO-HDAC1-rep3_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-HDAC1-KO-HDAC1-rep3_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:45:13 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	13213508	0	3284666	0	2040547	896246	0.154429	62118850

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.065315	9455499	0	10131684
2.0	1.926503	1445922	704364	947188
3.0	2.622677	227611	76046	85004
4.0	3.185456	35828	10519	7341
5.0	3.640399	5933	1649	674
6.0	4.00817	987	273	94
7.0	4.305471	187	27	27
8.0	4.545806	48	12	13
9.0	4.74009	17	2	13
10.0	4.897146	11	0	8
11.0	5.024109	5	1	3
12.0	5.126744	7	0	6
13.0	5.209713	4	0	4
14.0	5.276784	2	0	2
15.0	5.331003	3	0	3
16.0	5.374834	1	0	1
17.0	5.410265	2	0	2
18.0	5.438908	0	0	1
19.0	5.462063	0	0	1
20.0	5.48078	0	0	0
21.0	5.495912	3	0	2
22.0	5.508143	1	0	1
23.0	5.518032	1	0	1
24.0	5.526025	1	0	0
25.0	5.532487	0	0	0
26.0	5.53771	0	0	0
27.0	5.541933	1	0	1
28.0	5.545347	0	0	0
29.0	5.548106	1	0	1
30.0	5.550337	0	0	0
31.0	5.55214	0	0	0
32.0	5.553598	0	0	0
33.0	5.554776	0	0	0
34.0	5.555729	0	0	0
35.0	5.556499	0	0	0
36.0	5.557122	0	0	0
37.0	5.557625	0	0	0
38.0	5.558032	0	0	0
39.0	5.558361	0	0	0
40.0	5.558627	0	0	0
41.0	5.558842	0	0	0
42.0	5.559015	0	0	0
43.0	5.559156	0	0	0
44.0	5.559269	0	0	1
45.0	5.559361	0	0	0
46.0	5.559435	0	0	0
47.0	5.559495	1	0	0
48.0	5.559544	0	0	0
49.0	5.559583	0	0	0
50.0	5.559615	0	0	1
51.0	5.55964	0	0	0
52.0	5.559661	1	0	0
53.0	5.559678	0	0	0
54.0	5.559691	0	0	0
55.0	5.559702	0	0	0
56.0	5.559711	0	0	0
57.0	5.559718	0	0	1
58.0	5.559724	1	0	0
59.0	5.559729	0	0	0
60.0	5.559732	0	0	0
61.0	5.559735	0	0	0
62.0	5.559738	0	0	0
63.0	5.55974	0	0	0
64.0	5.559741	0	0	1
65.0	5.559743	1	0	0
66.0	5.559744	0	0	0
67.0	5.559745	0	0	0
68.0	5.559745	0	0	0
69.0	5.559746	0	0	0
70.0	5.559746	0	0	0
71.0	5.559747	1	0	1
72.0	5.559747	0	0	0
73.0	5.559747	0	0	0
74.0	5.559747	0	0	1
75.0	5.559748	0	0	1
76.0	5.559748	1	0	0
77.0	5.559748	1	0	0
78.0	5.559748	0	0	0
79.0	5.559748	0	0	0
80.0	5.559748	0	0	0
81.0	5.559748	0	0	1
82.0	5.559748	0	0	0
83.0	5.559748	0	0	0
84.0	5.559748	0	0	0
85.0	5.559748	0	0	0
86.0	5.559748	0	0	0
87.0	5.559748	0	0	0
88.0	5.559748	0	0	0
89.0	5.559748	0	0	0
90.0	5.559748	0	0	0
91.0	5.559748	1	0	0
92.0	5.559748	0	0	0
93.0	5.559748	0	0	0
94.0	5.559748	0	0	0
95.0	5.559748	0	0	0
96.0	5.559748	0	0	0
97.0	5.559748	0	0	0
98.0	5.559748	0	0	0
99.0	5.559748	0	0	0
100.0	5.559748	0	0	0
268.0	0	0	0	1
275.0	0	1	0	0
282.0	0	0	0	1
287.0	0	1	0	0

