## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/IgG_controls/CnR-20241114-CD8--Tim3--T-HDAC1-KO-IgG-rep2_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/IgG_controls/CnR-20241114-CD8--Tim3--T-HDAC1-KO-IgG-rep2_RmBlacklist_sorted_rmDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-HDAC1-KO-IgG-rep2_RmBlacklist_picard_rmDup.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 15:36:12 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	11092253	0	5912690	0	2084702	1100242	0.187942	47319706

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.097755	7357682	0	8161198
2.0	1.966119	1328493	793994	754894
3.0	2.653027	252298	115057	73803
4.0	3.196396	49844	19485	9373
5.0	3.626221	10976	3418	2480
6.0	3.966229	3091	632	1312
7.0	4.235187	1250	113	852
8.0	4.447943	688	23	547
9.0	4.616241	414	1	395
10.0	4.749371	332	0	321
11.0	4.854681	263	0	236
12.0	4.937986	196	0	182
13.0	5.003883	162	0	156
14.0	5.05601	119	0	101
15.0	5.097244	90	0	85
16.0	5.129862	91	0	87
17.0	5.155664	66	0	61
18.0	5.176074	40	0	49
19.0	5.192219	54	0	46
20.0	5.204991	52	0	40
21.0	5.215093	33	0	36
22.0	5.223085	32	0	32
23.0	5.229407	28	0	23
24.0	5.234407	26	0	25
25.0	5.238363	21	0	13
26.0	5.241492	10	0	12
27.0	5.243967	10	0	12
28.0	5.245925	9	0	11
29.0	5.247474	14	0	10
30.0	5.2487	5	0	11
31.0	5.249669	13	0	5
32.0	5.250435	7	0	7
33.0	5.251042	4	0	8
34.0	5.251522	10	0	9
35.0	5.251901	3	0	1
36.0	5.252201	9	0	5
37.0	5.252439	6	0	6
38.0	5.252626	2	0	1
39.0	5.252775	2	0	0
40.0	5.252893	0	0	0
41.0	5.252986	2	0	3
42.0	5.253059	2	0	2
43.0	5.253117	3	0	4
44.0	5.253163	4	0	3
45.0	5.2532	2	0	3
46.0	5.253229	1	0	0
47.0	5.253251	3	0	3
48.0	5.253269	1	0	0
49.0	5.253284	0	0	0
50.0	5.253295	1	0	2
51.0	5.253304	3	0	3
52.0	5.253311	0	0	2
53.0	5.253316	2	0	0
54.0	5.253321	1	0	1
55.0	5.253324	1	0	1
56.0	5.253327	3	0	4
57.0	5.253329	0	0	0
58.0	5.253331	2	0	1
59.0	5.253332	0	0	1
60.0	5.253333	0	0	0
61.0	5.253334	0	0	1
62.0	5.253335	1	0	2
63.0	5.253336	4	0	3
64.0	5.253336	0	0	0
65.0	5.253336	3	0	1
66.0	5.253337	0	0	0
67.0	5.253337	1	0	0
68.0	5.253337	0	0	1
69.0	5.253337	1	0	1
70.0	5.253337	1	0	1
71.0	5.253337	2	0	1
72.0	5.253337	0	0	0
73.0	5.253337	0	0	0
74.0	5.253337	1	0	1
75.0	5.253337	0	0	0
76.0	5.253337	1	0	3
77.0	5.253337	2	0	1
78.0	5.253338	0	0	0
79.0	5.253338	0	0	0
80.0	5.253338	1	0	0
81.0	5.253338	0	0	0
82.0	5.253338	0	0	0
83.0	5.253338	1	0	1
84.0	5.253338	0	0	0
85.0	5.253338	0	0	0
86.0	5.253338	0	0	0
87.0	5.253338	0	0	1
88.0	5.253338	0	0	0
89.0	5.253338	1	0	0
90.0	5.253338	0	0	0
91.0	5.253338	0	0	0
92.0	5.253338	0	0	0
93.0	5.253338	0	0	0
94.0	5.253338	0	0	0
95.0	5.253338	0	0	0
96.0	5.253338	0	0	0
97.0	5.253338	0	0	0
