## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-HDAC1-KO-RUNX3-rep2_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-HDAC1-KO-RUNX3-rep2_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-HDAC1-KO-RUNX3-rep2_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:53:16 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	9162147	0	2040944	0	1165774	765347	0.127238	85217067

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.086342	7005943	0	7631357
2.0	2.061946	849201	596180	340766
3.0	2.938099	117084	67555	18886
4.0	3.724939	18099	9128	2464
5.0	4.431571	3365	1347	823
6.0	5.066171	902	210	442
7.0	5.636082	369	32	292
8.0	6.147897	184	5	155
9.0	6.607539	113	1	107
10.0	7.020327	76	0	62
11.0	7.391036	55	0	52
12.0	7.723956	51	0	46
13.0	8.022939	26	0	32
14.0	8.291444	30	0	30
15.0	8.532579	30	0	22
16.0	8.749133	18	0	17
17.0	8.943613	16	0	12
18.0	9.118267	18	0	17
19.0	9.275118	10	0	10
20.0	9.41598	4	0	5
21.0	9.542482	8	0	7
22.0	9.65609	4	0	5
23.0	9.758116	5	0	3
24.0	9.849742	3	0	4
25.0	9.932029	2	0	2
26.0	10.005927	3	0	4
27.0	10.072292	2	0	2
28.0	10.131892	4	0	3
29.0	10.185416	2	0	1
30.0	10.233485	3	0	4
31.0	10.276653	2	0	2
32.0	10.315421	1	0	2
33.0	10.350237	3	0	2
34.0	10.381504	2	0	1
35.0	10.409584	1	0	2
36.0	10.434801	1	0	0
37.0	10.457448	1	0	0
38.0	10.477786	1	0	1
39.0	10.496051	0	0	1
40.0	10.512454	1	0	0
41.0	10.527185	1	0	1
42.0	10.540415	0	0	1
43.0	10.552296	1	0	1
44.0	10.562965	1	0	1
45.0	10.572547	2	0	1
46.0	10.581153	0	0	0
47.0	10.588881	0	0	0
48.0	10.595821	0	0	0
49.0	10.602054	0	0	1
50.0	10.607651	0	0	0
51.0	10.612678	1	0	0
52.0	10.617193	0	0	0
53.0	10.621247	0	0	0
54.0	10.624888	0	0	0
55.0	10.628158	0	0	0
56.0	10.631094	0	0	1
57.0	10.633732	1	0	0
58.0	10.6361	0	0	1
59.0	10.638227	0	0	0
60.0	10.640137	1	0	0
61.0	10.641852	0	0	0
62.0	10.643393	0	0	0
63.0	10.644776	0	0	0
64.0	10.646019	0	0	0
65.0	10.647135	0	0	0
66.0	10.648137	0	0	1
67.0	10.649037	1	0	0
68.0	10.649845	0	0	0
69.0	10.650571	0	0	0
70.0	10.651222	0	0	0
71.0	10.651808	0	0	0
72.0	10.652334	0	0	0
73.0	10.652806	0	0	0
74.0	10.65323	0	0	0
75.0	10.65361	0	0	0
76.0	10.653952	0	0	0
77.0	10.654259	0	0	0
78.0	10.654535	0	0	0
79.0	10.654783	0	0	0
80.0	10.655005	0	0	0
81.0	10.655205	0	0	0
82.0	10.655385	0	0	0
83.0	10.655546	0	0	0
84.0	10.65569	0	0	0
85.0	10.65582	0	0	0
86.0	10.655937	0	0	0
87.0	10.656042	0	0	0
88.0	10.656136	0	0	0
89.0	10.65622	0	0	0
90.0	10.656296	0	0	0
91.0	10.656364	0	0	0
92.0	10.656426	0	0	0
93.0	10.656481	0	0	0
94.0	10.65653	0	0	0
95.0	10.656574	0	0	0
96.0	10.656614	0	0	0
97.0	10.65665	0	0	0
