## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-H3K27ac-rep3_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-H3K27ac-rep3_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-WT-H3K27ac-rep3_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 18:13:18 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	12882691	0	1411710	0	1343058	857154	0.104253	144772651

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.068156	10356907	0	11078406
2.0	2.045369	1044018	698010	439069
3.0	2.93938	119787	65420	19547
4.0	3.757274	15523	7718	1500
5.0	4.505531	2190	1031	277
6.0	5.190081	432	171	135
7.0	5.816347	134	23	77
8.0	6.389292	34	1	22
9.0	6.913456	18	1	16
10.0	7.392991	25	2	23
11.0	7.831699	9	0	9
12.0	8.233054	9	0	9
13.0	8.600238	4	0	4
14.0	8.936159	5	0	3
15.0	9.243479	3	0	2
16.0	9.524633	2	0	2
17.0	9.78185	2	0	3
18.0	10.017167	3	0	2
19.0	10.232449	2	0	1
20.0	10.429401	0	0	0
21.0	10.609585	0	0	0
22.0	10.774427	0	0	0
23.0	10.925235	0	0	0
24.0	11.063202	1	0	1
25.0	11.189423	1	0	1
26.0	11.304898	0	0	0
27.0	11.41054	1	0	1
28.0	11.507188	0	0	0
29.0	11.595608	0	0	0
30.0	11.676499	0	0	0
31.0	11.750503	0	0	0
32.0	11.818206	0	0	0
33.0	11.880145	0	0	0
34.0	11.93681	0	0	0
35.0	11.988651	0	0	0
36.0	12.036078	0	0	0
37.0	12.079467	0	0	0
38.0	12.119162	0	0	0
39.0	12.155477	0	0	0
40.0	12.1887	0	0	0
41.0	12.219095	0	0	0
42.0	12.246901	0	0	0
43.0	12.272341	0	0	0
44.0	12.295614	0	0	0
45.0	12.316906	0	0	0
46.0	12.336385	0	0	0
47.0	12.354205	0	0	0
48.0	12.370508	0	0	0
49.0	12.385423	0	0	0
50.0	12.399069	0	0	0
51.0	12.411552	0	0	0
52.0	12.422973	0	0	0
53.0	12.433421	0	0	0
54.0	12.44298	0	0	0
55.0	12.451725	0	0	0
56.0	12.459725	0	0	0
57.0	12.467044	0	0	0
58.0	12.47374	0	0	0
59.0	12.479866	0	0	0
60.0	12.48547	0	0	0
61.0	12.490597	0	0	0
62.0	12.495288	0	0	0
63.0	12.499579	0	0	0
64.0	12.503505	0	0	0
65.0	12.507097	0	0	0
66.0	12.510382	0	0	0
67.0	12.513389	0	0	0
68.0	12.516139	0	0	0
69.0	12.518655	0	0	0
70.0	12.520956	0	0	0
71.0	12.523062	0	0	0
72.0	12.524989	0	0	0
73.0	12.526751	0	0	0
74.0	12.528364	0	0	0
75.0	12.529839	0	0	0
76.0	12.531188	0	0	0
77.0	12.532423	0	0	0
78.0	12.533552	0	0	0
79.0	12.534586	0	0	0
80.0	12.535531	0	0	0
81.0	12.536396	0	0	0
82.0	12.537187	0	0	0
83.0	12.537911	0	0	0
84.0	12.538573	0	0	0
85.0	12.539179	0	0	0
86.0	12.539734	0	0	0
87.0	12.540241	0	0	0
88.0	12.540705	0	0	0
89.0	12.541129	0	0	0
90.0	12.541517	0	0	0
91.0	12.541872	0	0	0
92.0	12.542197	0	0	0
93.0	12.542495	0	0	0
94.0	12.542767	0	0	0
95.0	12.543016	0	0	0
96.0	12.543243	0	0	0
