## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-H3K27me3-rep3_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-H3K27me3-rep3_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-WT-H3K27me3-rep3_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 18:27:33 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	23127548	0	2627646	0	2366855	1552611	0.102339	278596594

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.069021	18680587	0	19991309
2.0	2.052881	1832422	1260554	728404
3.0	2.958364	213079	119587	35997
4.0	3.791715	28408	14313	3382
5.0	4.55868	4411	2015	593
6.0	5.264546	792	314	155
7.0	5.914181	157	44	50
8.0	6.512066	45	6	16
9.0	7.062321	9	1	8
10.0	7.568742	5	0	5
11.0	8.03482	5	0	1
12.0	8.463769	1	0	2
13.0	8.858548	1	0	0
14.0	9.221877	0	0	0
15.0	9.556263	0	0	0
16.0	9.864011	0	0	0
17.0	10.147243	0	0	0
18.0	10.407912	0	0	0
19.0	10.647816	0	0	0
20.0	10.868609	0	0	0
21.0	11.071812	0	0	0
22.0	11.258828	0	0	0
23.0	11.430946	0	0	0
24.0	11.589353	0	0	0
25.0	11.735141	0	0	0
26.0	11.869314	0	0	0
27.0	11.9928	0	0	0
28.0	12.106448	0	0	0
29.0	12.211043	0	0	0
30.0	12.307305	0	0	0
31.0	12.395899	0	0	0
32.0	12.477436	0	0	0
33.0	12.552477	0	0	0
34.0	12.62154	0	0	0
35.0	12.685101	0	0	0
36.0	12.743599	0	0	0
37.0	12.797437	0	0	0
38.0	12.846986	0	0	0
39.0	12.892588	0	0	0
40.0	12.934557	0	0	0
41.0	12.973183	0	0	0
42.0	13.008731	0	0	0
43.0	13.041448	0	0	0
44.0	13.071559	0	0	0
45.0	13.099271	0	0	0
46.0	13.124775	0	0	0
47.0	13.148248	0	0	0
48.0	13.16985	0	0	0
49.0	13.189732	0	0	0
50.0	13.20803	0	0	0
51.0	13.22487	0	0	0
52.0	13.240369	0	0	0
53.0	13.254633	0	0	0
54.0	13.267761	0	0	0
55.0	13.279843	0	0	0
56.0	13.290963	0	0	0
57.0	13.301196	0	0	0
58.0	13.310615	0	0	0
59.0	13.319283	0	0	0
60.0	13.327261	0	0	0
61.0	13.334603	0	0	0
62.0	13.34136	0	0	0
63.0	13.347579	0	0	0
64.0	13.353302	0	0	0
65.0	13.35857	0	0	0
66.0	13.363418	0	0	0
67.0	13.36788	0	0	0
68.0	13.371986	0	0	0
69.0	13.375765	0	0	0
70.0	13.379243	0	0	0
71.0	13.382445	0	0	0
72.0	13.385391	0	0	0
73.0	13.388102	0	0	0
74.0	13.390597	0	0	0
75.0	13.392894	0	0	0
76.0	13.395008	0	0	0
77.0	13.396953	0	0	0
78.0	13.398743	0	0	0
79.0	13.400391	0	0	0
80.0	13.401907	0	0	0
81.0	13.403303	0	0	0
82.0	13.404587	0	0	0
83.0	13.405769	0	0	0
84.0	13.406857	0	0	0
85.0	13.407859	0	0	0
86.0	13.40878	0	0	0
87.0	13.409628	0	0	0
88.0	13.410409	0	0	0
89.0	13.411127	0	0	0
90.0	13.411788	0	0	0
91.0	13.412397	0	0	0
92.0	13.412957	0	0	0
93.0	13.413472	0	0	0
94.0	13.413947	0	0	0
95.0	13.414383	0	0	0
96.0	13.414785	0	0	0
