## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-HDAC1-rep2_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-HDAC1-rep2_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-WT-HDAC1-rep2_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 18:37:24 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	8986360	0	4345940	0	2362119	813452	0.262856	18745467

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.077706	4850855	0	5344218
2.0	1.744981	1323712	594850	1053525
3.0	2.158132	341400	83427	189543
4.0	2.41394	82477	13374	30575
5.0	2.572326	19251	2257	4562
6.0	2.670393	4315	410	646
7.0	2.731112	935	74	143
8.0	2.768707	252	9	46
9.0	2.791985	67	4	23
10.0	2.806397	23	1	11
11.0	2.815321	12	0	8
12.0	2.820846	6	0	5
13.0	2.824267	4	0	5
14.0	2.826385	5	0	6
15.0	2.827696	0	0	1
16.0	2.828508	2	0	0
17.0	2.829011	1	0	0
18.0	2.829323	0	0	0
19.0	2.829515	3	0	3
20.0	2.829635	0	0	0
21.0	2.829709	0	0	1
22.0	2.829754	2	0	1
23.0	2.829783	0	0	0
24.0	2.8298	0	0	0
25.0	2.829811	0	0	0
26.0	2.829818	0	0	0
27.0	2.829822	0	0	0
28.0	2.829824	1	0	1
29.0	2.829826	0	0	0
30.0	2.829827	0	0	0
31.0	2.829828	0	0	0
32.0	2.829828	0	0	0
33.0	2.829828	0	0	0
34.0	2.829828	0	0	0
35.0	2.829829	0	0	0
36.0	2.829829	0	0	0
37.0	2.829829	0	0	0
38.0	2.829829	0	0	0
39.0	2.829829	0	0	0
40.0	2.829829	2	0	2
41.0	2.829829	1	0	1
42.0	2.829829	0	0	0
43.0	2.829829	0	0	0
44.0	2.829829	0	0	1
45.0	2.829829	0	0	2
46.0	2.829829	2	0	1
47.0	2.829829	1	0	1
48.0	2.829829	0	0	0
49.0	2.829829	0	0	0
50.0	2.829829	1	0	0
51.0	2.829829	1	0	0
52.0	2.829829	0	0	0
53.0	2.829829	0	0	0
54.0	2.829829	0	0	0
55.0	2.829829	0	0	0
56.0	2.829829	0	0	0
57.0	2.829829	0	0	0
58.0	2.829829	0	0	0
59.0	2.829829	0	0	0
60.0	2.829829	0	0	0
61.0	2.829829	0	0	0
62.0	2.829829	0	0	0
63.0	2.829829	0	0	0
64.0	2.829829	0	0	0
65.0	2.829829	0	0	0
66.0	2.829829	0	0	0
67.0	2.829829	0	0	0
68.0	2.829829	0	0	0
69.0	2.829829	0	0	0
70.0	2.829829	0	0	0
71.0	2.829829	0	0	0
72.0	2.829829	0	0	1
73.0	2.829829	0	0	0
74.0	2.829829	0	0	0
75.0	2.829829	0	0	0
76.0	2.829829	0	0	0
77.0	2.829829	1	0	0
78.0	2.829829	0	0	0
79.0	2.829829	0	0	0
80.0	2.829829	0	0	0
81.0	2.829829	0	0	0
82.0	2.829829	0	0	0
83.0	2.829829	0	0	0
84.0	2.829829	0	0	0
85.0	2.829829	0	0	0
86.0	2.829829	0	0	0
87.0	2.829829	0	0	0
88.0	2.829829	0	0	0
89.0	2.829829	0	0	0
90.0	2.829829	0	0	0
91.0	2.829829	0	0	0
92.0	2.829829	0	0	0
93.0	2.829829	0	0	0
94.0	2.829829	0	0	0
95.0	2.829829	0	0	0
96.0	2.829829	0	0	0
97.0	2.829829	0	0	0
98.0	2.829829	0	0	0
99.0	2.829829	0	0	0
100.0	2.829829	0	0	0
285.0	0	0	0	1
287.0	0	0	0	1
292.0	0	1	0	0
293.0	0	1	0	0

