## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/IgG_controls/CnR-20241114-CD8--Tim3--T-WT-IgG-rep3_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/IgG_controls/CnR-20241114-CD8--Tim3--T-WT-IgG-rep3_RmBlacklist_sorted_rmDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-WT-IgG-rep3_RmBlacklist_picard_rmDup.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 15:50:32 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	15001818	0	3746850	0	2641447	1052850	0.176075	56497022

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.065928	10212657	0	10975767
2.0	1.883278	1764258	827422	1227758
3.0	2.51002	310370	90005	133552
4.0	2.990604	55572	12100	15756
5.0	3.359115	10763	1833	2770
6.0	3.641688	2608	282	1136
7.0	3.858364	992	44	675
8.0	4.02451	543	11	466
9.0	4.151911	356	3	312
10.0	4.249602	245	0	229
11.0	4.324511	194	0	199
12.0	4.38195	182	1	169
13.0	4.425995	123	0	113
14.0	4.459769	114	0	106
15.0	4.485666	75	0	74
16.0	4.505524	72	0	64
17.0	4.520751	65	0	62
18.0	4.532427	51	0	45
19.0	4.54138	25	0	28
20.0	4.548245	30	0	28
21.0	4.55351	25	0	19
22.0	4.557546	15	0	14
23.0	4.560642	17	0	16
24.0	4.563015	14	0	19
25.0	4.564835	15	0	13
26.0	4.566231	15	0	11
27.0	4.567301	10	0	11
28.0	4.568121	9	0	9
29.0	4.56875	12	0	10
30.0	4.569233	7	0	5
31.0	4.569603	6	0	6
32.0	4.569887	4	0	4
33.0	4.570104	2	0	3
34.0	4.570271	4	0	6
35.0	4.570399	8	0	3
36.0	4.570497	0	0	0
37.0	4.570572	0	0	4
38.0	4.57063	3	0	1
39.0	4.570674	3	0	4
40.0	4.570708	5	0	4
41.0	4.570734	2	0	2
42.0	4.570754	2	0	2
43.0	4.570769	3	0	1
44.0	4.570781	0	0	0
45.0	4.57079	1	0	1
46.0	4.570797	0	0	0
47.0	4.570802	0	0	1
48.0	4.570806	0	0	1
49.0	4.570809	1	0	1
50.0	4.570811	2	0	2
51.0	4.570813	1	0	0
52.0	4.570815	1	0	1
53.0	4.570816	1	0	1
54.0	4.570817	3	0	4
55.0	4.570817	2	0	1
56.0	4.570818	1	0	0
57.0	4.570818	0	0	0
58.0	4.570818	0	0	0
59.0	4.570819	0	0	2
60.0	4.570819	2	0	2
61.0	4.570819	2	0	0
62.0	4.570819	0	0	1
63.0	4.570819	0	0	1
64.0	4.570819	1	0	0
65.0	4.570819	0	0	1
66.0	4.570819	3	0	2
67.0	4.570819	1	0	1
68.0	4.570819	1	0	0
69.0	4.570819	0	0	0
70.0	4.570819	0	0	0
71.0	4.570819	0	0	1
72.0	4.570819	0	0	0
73.0	4.570819	0	0	0
74.0	4.570819	0	0	0
75.0	4.570819	0	0	1
76.0	4.570819	2	0	1
77.0	4.570819	0	0	0
78.0	4.570819	0	0	0
79.0	4.570819	0	0	0
80.0	4.570819	0	0	0
81.0	4.570819	0	0	0
82.0	4.570819	1	0	0
83.0	4.570819	0	0	1
84.0	4.570819	1	0	0
85.0	4.570819	0	0	0
86.0	4.570819	0	0	0
87.0	4.570819	0	0	0
88.0	4.570819	0	0	0
89.0	4.570819	0	0	0
90.0	4.570819	0	0	0
91.0	4.570819	0	0	0
92.0	4.570819	0	0	0
93.0	4.570819	0	0	0
94.0	4.570819	0	0	0
95.0	4.570819	0	0	0
96.0	4.570819	0	0	0
97.0	4.570819	0	0	0
98.0	4.570819	0	0	0
99.0	4.570819	0	0	0
100.0	4.570819	0	0	0
240.0	0	0	0	1
242.0	0	1	0	0
261.0	0	0	0	1
262.0	0	1	0	0

