## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-RUNX3-rep3_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-RUNX3-rep3_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-WT-RUNX3-rep3_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 18:55:18 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	17520484	0	3032058	0	3418892	1215647	0.195137	54763893

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.063303	12184692	0	13133086
2.0	1.835476	1541367	933455	787978
3.0	2.396229	241453	108732	82271
4.0	2.803448	52705	16005	25069
5.0	3.099172	19281	2750	14155
6.0	3.313926	10725	583	9384
7.0	3.469882	7282	173	6831
8.0	3.583137	5443	73	5245
9.0	3.665383	4285	33	4187
10.0	3.72511	3404	21	3276
11.0	3.768484	2818	19	2728
12.0	3.799982	2337	7	2192
13.0	3.822856	1986	6	1947
14.0	3.839467	1726	6	1748
15.0	3.85153	1575	4	1532
16.0	3.860291	1361	5	1314
17.0	3.866652	1233	4	1193
18.0	3.871272	1103	3	1056
19.0	3.874627	979	3	971
20.0	3.877064	864	0	814
21.0	3.878833	724	0	726
22.0	3.880118	709	0	646
23.0	3.881051	639	1	643
24.0	3.881728	568	0	606
25.0	3.88222	596	1	551
26.0	3.882578	549	0	534
27.0	3.882837	486	0	498
28.0	3.883026	452	0	408
29.0	3.883163	381	0	392
30.0	3.883262	399	0	375
31.0	3.883334	345	0	321
32.0	3.883387	333	0	341
33.0	3.883425	351	0	319
34.0	3.883452	283	1	274
35.0	3.883472	236	0	261
36.0	3.883487	258	0	233
37.0	3.883497	210	0	191
38.0	3.883505	220	0	234
39.0	3.883511	204	0	200
40.0	3.883515	203	0	188
41.0	3.883518	181	0	167
42.0	3.88352	179	0	188
43.0	3.883521	189	0	168
44.0	3.883523	149	0	158
45.0	3.883523	156	0	151
46.0	3.883524	134	0	147
47.0	3.883524	125	0	124
48.0	3.883525	141	0	128
49.0	3.883525	120	0	109
50.0	3.883525	121	0	133
51.0	3.883525	132	0	116
52.0	3.883525	120	0	130
53.0	3.883525	107	0	98
54.0	3.883525	96	0	80
55.0	3.883525	99	0	107
56.0	3.883525	87	0	69
57.0	3.883526	85	0	101
58.0	3.883526	103	0	107
59.0	3.883526	89	0	76
60.0	3.883526	78	0	70
61.0	3.883526	68	0	75
62.0	3.883526	69	0	63
63.0	3.883526	86	0	81
64.0	3.883526	74	0	70
65.0	3.883526	71	0	61
66.0	3.883526	60	0	68
67.0	3.883526	64	0	61
68.0	3.883526	62	0	57
69.0	3.883526	72	0	64
70.0	3.883526	54	0	72
71.0	3.883526	62	0	53
72.0	3.883526	58	0	53
73.0	3.883526	36	0	41
74.0	3.883526	54	0	55
75.0	3.883526	47	0	49
76.0	3.883526	49	0	53
77.0	3.883526	58	0	45
78.0	3.883526	50	0	38
79.0	3.883526	33	0	36
80.0	3.883526	43	0	49
81.0	3.883526	49	0	32
82.0	3.883526	31	0	29
83.0	3.883526	31	0	41
84.0	3.883526	32	0	36
85.0	3.883526	34	0	33
86.0	3.883526	33	0	30
87.0	3.883526	38	0	29
88.0	3.883526	37	0	33
89.0	3.883526	16	0	28
90.0	3.883526	31	0	32
91.0	3.883526	29	0	31
92.0	3.883526	32	0	36
93.0	3.883526	33	0	31
94.0	3.883526	30	0	29
95.0	3.883526	32	0	31
96.0	3.883526	43	0	37
97.0	3.883526	26	0	23
98.0	3.883526	23	0	20
99.0	3.883526	19	0	28
100.0	3.883526	31	0	27
101.0	0	28	0	37
102.0	0	25	0	21
103.0	0	26	0	19
104.0	0	31	0	27
105.0	0	18	0	18
106.0	0	27	0	19
107.0	0	15	0	17
108.0	0	19	0	19
109.0	0	15	0	15
110.0	0	22	0	21
111.0	0	20	0	16
112.0	0	13	0	17
113.0	0	17	0	13
114.0	0	17	0	13
115.0	0	16	0	17
116.0	0	16	0	18
117.0	0	15	0	19
118.0	0	10	0	19
119.0	0	21	0	14
120.0	0	21	0	17
121.0	0	15	0	24
122.0	0	21	0	16
123.0	0	16	0	12
124.0	0	16	0	11
125.0	0	8	0	10
126.0	0	12	0	11
127.0	0	15	0	6
128.0	0	6	0	8
129.0	0	10	0	15
130.0	0	18	0	18
131.0	0	11	0	18
132.0	0	13	0	13
133.0	0	14	0	17
134.0	0	21	0	14
135.0	0	16	0	17
136.0	0	14	0	16
137.0	0	13	0	12
138.0	0	15	0	14
139.0	0	11	0	10
140.0	0	14	0	12
141.0	0	17	0	9
142.0	0	6	0	10
143.0	0	11	0	14
144.0	0	8	0	10
145.0	0	15	0	12
146.0	0	9	0	8
147.0	0	10	0	5
148.0	0	8	0	5
149.0	0	9	0	13
150.0	0	6	0	8
151.0	0	7	0	8
152.0	0	9	0	8
153.0	0	9	0	12
154.0	0	11	0	5
155.0	0	8	0	12
156.0	0	9	0	12
157.0	0	9	0	9
158.0	0	10	0	6
159.0	0	9	0	7
160.0	0	9	0	8
161.0	0	11	0	9
162.0	0	4	0	8
163.0	0	9	0	7
164.0	0	8	0	6
165.0	0	8	0	5
166.0	0	5	0	8
167.0	0	3	0	7
168.0	0	9	0	1
169.0	0	9	0	4
170.0	0	4	0	8
171.0	0	8	0	12
172.0	0	5	0	4
173.0	0	4	0	9
174.0	0	5	0	6
175.0	0	7	0	8
176.0	0	6	0	2
177.0	0	10	0	7
178.0	0	8	0	9
179.0	0	6	0	3
180.0	0	2	0	3
181.0	0	5	0	6
182.0	0	6	0	2
183.0	0	4	0	9
184.0	0	3	0	5
185.0	0	4	0	4
186.0	0	5	0	10
187.0	0	5	0	6
188.0	0	9	0	4
189.0	0	7	0	0
190.0	0	2	0	2
191.0	0	5	0	3
192.0	0	2	0	3
193.0	0	3	0	6
194.0	0	3	0	5
195.0	0	2	0	1
196.0	0	6	0	1
197.0	0	6	0	3
198.0	0	3	0	2
199.0	0	4	0	3
200.0	0	2	0	3
201.0	0	1	0	3
202.0	0	1	0	4
203.0	0	3	0	4
204.0	0	8	0	5
205.0	0	4	0	5
206.0	0	5	0	5
207.0	0	2	0	0
208.0	0	2	0	0
209.0	0	4	0	2
210.0	0	2	0	2
211.0	0	1	0	4
212.0	0	5	0	6
213.0	0	1	0	3
214.0	0	3	0	2
215.0	0	1	0	1
