PeakID	Chr	Start	End	Conc	Conc_KO	Conc_WT	Fold	p-value	FDR
10307	chr2	73521680	73532786	9.52233547211032	7.99644246229071	10.2471912980914	-2.19170872632479	3.38729489329299e-57	6.42874697798077e-53
6103	chr14	118852469	118870070	9.4055956569974	7.70012799387251	10.165499849659	-2.38424574924372	6.40303674847216e-56	6.07616172246266e-52
10306	chr2	73499011	73511397	8.71257584380524	7.11909161971129	9.45123975891094	-2.26278726197905	1.22281741763416e-52	7.73595058975955e-49
12595	chr4	62779172	62806233	10.2016243556119	9.44828944726965	10.6940101429765	-1.20141569482618	1.66046361110747e-42	7.87848471880217e-39
18505	chr9	118458160	118472753	9.7578884386784	8.72851518229686	10.3525106138404	-1.56413894359713	9.34310855045317e-42	3.54645714358102e-38
12343	chr4	32165709	32179254	9.78187391880927	8.58153752010112	10.4278763507788	-1.78175078250468	1.67356263401349e-41	5.29375753849032e-38
13692	chr5	64794779	64811162	9.58726898951991	8.58639059948915	10.1725241681113	-1.52561802890822	2.34598923518792e-39	6.36064709923309e-36
11642	chr3	84726644	84748542	10.6360675131979	9.91967364265878	11.112587290519	-1.14461619000172	1.6743590330373e-35	3.97220751100186e-32
17316	chr8	116677782	116699139	9.85414107873982	9.11662513014019	10.3398037078414	-1.17507283838045	1.96592744983327e-35	4.14570411893174e-32
6768	chr15	97248535	97253465	7.99993105651018	6.76891510169457	8.65435070730156	-1.80488580393506	2.53425988777481e-34	4.80977184100781e-31
6574	chr15	78794966	78813955	10.0194879619144	9.06820747282615	10.5878380259118	-1.44468870606649	1.02834722269206e-32	1.6911900207017e-29
13702	chr5	65960236	65974975	9.44967538473952	8.599003973533	9.98121743832058	-1.31096652049955	1.0693018730397e-32	1.6911900207017e-29
8268	chr17	83985335	83990299	7.75637845087613	6.26072247390028	8.47479964828269	-2.11531925570647	7.18335532080455e-32	1.04871462025807e-28
2220	chr10	118562767	118575231	9.2591749976465	8.4636909803082	9.76897232327843	-1.23942497852308	1.34832351438577e-31	1.82784514139482e-28
15265	chr6	115984662	115995436	9.39967808227329	8.49478024021992	9.95149378465611	-1.37708707491803	3.78389606079799e-31	4.64452692932517e-28
13355	chr4	156181380	156197620	9.71972470219702	8.79568925182047	10.2784500451639	-1.40399769420893	3.91550823906437e-31	4.64452692932517e-28
1521	chr10	21810111	21830031	10.1150288540136	9.3457436824623	10.6140883177262	-1.20546787522795	4.99566512858994e-31	5.57721932208873e-28
10303	chr2	73371502	73380800	8.93659416267469	8.04189858085913	9.48467495229336	-1.37352595712555	5.51788880948808e-31	5.81800065084857e-28
10656	chr2	119742322	119761877	10.358051599397	9.77585617345002	10.7717035685323	-0.955279489975959	9.21772993092006e-30	9.20754191362799e-27
1522	chr10	21832976	21855975	10.1178214294881	9.38245684826147	10.6025615639927	-1.15953629356869	2.3556808881123e-29	2.23542337877416e-26
7861	chr17	32093148	32125306	11.3064216428337	10.7609238979912	11.7013144070549	-0.904797960456048	6.08546571124937e-29	5.49981208256199e-26
1990	chr10	81421584	81429478	8.35468723003531	7.00764594313873	9.03896971822622	-1.92237971780683	3.66405131807779e-28	3.16091045299083e-25
12270	chr4	7500344	7525680	9.84768238045552	9.24246791164523	10.2727402435868	-0.984506352369901	8.04980305610019e-28	6.64248748703154e-25
