consensus;gencode_chr;gencode_start;gencode_end;gencode_gene_name;gencode_characterization;homer_Annotation;homer_Gene.Name;KO1_Tterm;KO2_Tterm;KO3_Tterm;WT1_Tterm;WT2_Tterm;WT3_Tterm;normalized_KO1_Tterm;normalized_KO2_Tterm;normalized_KO3_Tterm;normalized_WT1_Tterm;normalized_WT2_Tterm;normalized_WT3_Tterm;baseMean__group_KO_Tterm_vs_WT_Tterm;log2FoldChange__group_KO_Tterm_vs_WT_Tterm;lfcSE__group_KO_Tterm_vs_WT_Tterm;pvalue__group_KO_Tterm_vs_WT_Tterm;padj__group_KO_Tterm_vs_WT_Tterm
CONS00000120012;chrX;101734852;101735353;Cxcr3;TSS_proximal;promoter-TSS (NM_009910);Cxcr3;29;15;16;73;63;58;21.8828840664875;15.6763034611787;14.3048770524796;83.3491140644363;60.0800299301635;52.7015301193615;44.9272134798588;-1.37702575744799;0.307411759285617;1.68802518215079E-08;1.24552143797269E-05
CONS00000111974;chr8;126855751;126856383;Tomm20;intergenic;Intergenic;A630001O12Rik;105;52;84;185;205;207;79.2311319648684;54.3445186654196;75.1006045255181;211.227206875626;195.498510090214;188.089943701859;160.389133599871;-1.34120602241726;0.181059025334826;1.70888506140324E-15;2.42725761909062E-11
CONS00000056273;chr18;39145300;39145801;Arhgap26;gene_body;intron (NM_175164, intron 10 of 22);Arhgap26;42;14;20;62;103;78;31.6924527859474;14.6312165637668;17.8810963155996;70.7896585204802;98.2260806794736;70.874471539831;42.8948437593165;-1.33285018893055;0.320097424361898;5.86737481156256E-08;3.33354899918927E-05
CONS00000104219;chr7;109741027;109742137;Tmem9b;gene_body;intron (NM_020050, intron 4 of 4);Ascl3;50;36;39;94;145;94;37.7291104594612;37.6231283068289;34.8681378154191;107.326256466534;138.279433966249;85.4128246762065;91.7632540552715;-1.31257764696466;0.235420069568206;2.08005793693903E-10;3.6317055099415E-07
CONS00000059615;chr19;14678120;14679053;Tle4;intergenic;Intergenic;Tle4;24;25;16;56;72;79;18.1099730205414;26.1271724352979;14.3048770524796;63.939046405595;68.6628913487582;71.7831186108544;44.5222871317802;-1.27860971995765;0.327391759885878;1.63610940653056E-07;6.63968256657382E-05
CONS00000102378;chr7;74587288;74587973;Slco3a1;intergenic;Intergenic;Slco3a1;37;17;22;77;104;53;27.9195417400013;17.7664772560026;19.6692059471595;87.9161888076931;99.1797319482063;48.1582947642441;47.5454280185871;-1.2497228488661;0.343506253186073;3.71794709064506E-07;0.00012001997952
CONS00000047941;chr16;56068256;56068994;Senp7;gene_body;intron (NM_001360073, intron 1 of 24);Senp7;38;25;28;65;104;77;28.6741239491905;26.1271724352979;25.0335348418394;74.2149645779227;99.1797319482063;69.9658244688075;53.3184998001068;-1.23059527813722;0.281646612869877;5.01308930504336E-08;2.96686113402123E-05
CONS00000108479;chr8;64871208;64872821;Klhl2;intergenic;Intergenic;Klhl2;91;70;71;141;204;193;68.6669810362193;73.156082818834;63.4778919203784;160.989384699802;194.544858821482;175.36888470753;118.28504107751;-1.22393429563914;0.183789310163705;4.91456554712084E-13;1.74513150974794E-09
CONS00000049075;chr16;92640944;92641536;Runx1;gene_body;intron (NM_009821, intron 3 of 4);Runx1;54;36;24;70;136;104;40.747439296218;37.6231283068289;21.4573155787195;79.9238080069937;129.696572547654;94.4992953864413;67.5896748476362;-1.18560572434104;0.304340687884881;2.627669237167E-07;9.33068923185269E-05
CONS00000032239;chr13;60934570;60935428;Ctla2a;gene_body;3' UTR (NM_001145799, exon 5 of 5);Ctla2a;42;22;33;73;79;86;31.6924527859474;22.9919117430621;29.5038089207393;83.3491140644363;75.3384502298875;78.1436481080188;64.7894975240571;-1.16606985241562;0.265467643789362;5.68523981002252E-08;3.2626959576407E-05
